,,,,,,,,Two color points Chart 1:,,,,,,,,,,,,,,,FDR cut-off,
ID,Uniprot Accession,Description,gene_name,-Log Student's T-test p-value,Student's T-test Difference,FDR Significant ,significant or not,Significant,Not significant,MS/MS count 957,MS/MS count 958,MS/MS count 959,MS/MS count 960,MS/MS count 961,MS/MS count 962,LFQ intensity 957,LFQ intensity 958,LFQ intensity 959,LFQ intensity 960,LFQ intensity 961,LFQ intensity 962,,x,y
923,P20839,Inosine-5-monophosphate dehydrogenase 1,IMPDH1,2.851,-7.951,+,Significant,-7.951,#N/A,0,0,0,30,36,25,20.788,20.412,23.322,28.698,30.187,29.491,,30.0,1.0
791,P12268,Inosine-5-monophosphate dehydrogenase 2,IMPDH2,5.409,-6.267,+,Significant,-6.267,#N/A,24,23,25,93,124,96,25.427,25.417,25.109,31.401,31.869,31.484,,30.0,1.0
713,P09110,"3-ketoacyl-CoA thiolase, peroxisomal",ACAA1,2.863,-5.290,+,Significant,-5.290,#N/A,4,1,3,20,18,15,22.057,20.689,22.703,27.201,27.579,26.539,,30.0,1.0
3597,Q9NUI1,"Peroxisomal 2,4-dienoyl-CoA reductase",DECR2,4.034,-4.649,+,Significant,-4.649,#N/A,3,1,5,13,14,11,21.822,21.399,21.940,26.020,26.836,26.251,,30.0,1.0
1792,Q08426,"Peroxisomal bifunctional enzyme;Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase;3-hydroxyacyl-CoA dehydrogenase",EHHADH,2.973,-4.568,+,Significant,-4.568,#N/A,6,3,7,41,47,25,22.588,21.394,22.034,26.722,27.206,25.793,,30.0,1.0
4062,Q9Y5J9,Mitochondrial import inner membrane translocase subunit Tim8 B,TIMM8B,1.796,-4.288,+,Significant,-4.288,#N/A,1,2,1,1,2,2,19.629,23.104,20.260,25.236,25.318,25.303,,30.0,1.0
601,P01023,Alpha-2-macroglobulin,A2M,5.770,-4.278,+,Significant,-4.278,#N/A,0,0,0,5,4,4,20.175,20.384,20.156,24.648,24.462,24.438,,29.9,1.0
3520,Q9NPA3,Mid1-interacting protein 1,MID1IP1,4.829,-4.276,+,Significant,-4.276,#N/A,0,0,0,11,12,4,19.650,20.142,20.137,24.301,24.300,24.157,,29.9,1.0
2410,Q6UB35,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,3.034,-4.224,+,Significant,-4.224,#N/A,1,0,1,13,13,14,20.390,21.132,21.938,25.730,25.219,25.182,,29.9,1.0
596,P00738;P00739,Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain;Haptoglobin-related protein,HP;HPR,3.232,-3.807,+,Significant,-3.807,#N/A,0,0,0,0,1,2,19.660,20.652,19.574,23.442,23.859,24.005,,29.9,1.0
3354,Q9H0F6,Sharpin,SHARPIN,2.782,-3.708,+,Significant,-3.708,#N/A,0,1,0,0,1,0,21.378,19.684,20.412,24.251,24.174,24.170,,29.9,1.0
1108,P34896,"Serine hydroxymethyltransferase, cytosolic",SHMT1,3.649,-3.665,+,Significant,-3.665,#N/A,9,5,5,23,23,26,23.189,22.835,23.112,26.709,26.246,27.177,,29.9,1.0
1448,P54886,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,3.450,-3.647,+,Significant,-3.647,#N/A,39,34,42,94,101,112,26.391,26.186,26.723,29.561,30.145,30.537,,29.9,1.0
2294,Q5TZA2,Rootletin,CROCC,3.016,-3.609,+,Significant,-3.609,#N/A,0,2,3,32,21,40,22.208,22.381,22.231,25.369,25.581,26.696,,29.9,1.0
2438,Q709F0,Acyl-CoA dehydrogenase family member 11,ACAD11,2.332,-3.606,+,Significant,-3.606,#N/A,1,1,0,9,12,7,20.469,19.537,21.426,24.378,24.425,23.447,,29.9,1.0
942,P22307,Non-specific lipid-transfer protein,SCP2,3.187,-3.519,+,Significant,-3.519,#N/A,6,7,8,31,32,24,23.487,23.774,23.211,27.095,27.528,26.404,,29.9,1.0
796,P12694,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",BCKDHA,3.813,-3.499,+,Significant,-3.499,#N/A,3,2,1,13,13,11,21.356,21.632,20.893,24.863,24.972,24.542,,29.8,1.0
770,P11182,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",DBT,4.014,-3.441,+,Significant,-3.441,#N/A,6,8,7,19,13,19,22.809,22.717,23.338,26.194,26.454,26.539,,29.8,1.0
2596,Q8IXT5,RNA-binding protein 12B,RBM12B,4.147,-3.434,+,Significant,-3.434,#N/A,1,0,0,4,4,3,19.402,19.155,19.777,22.757,22.822,23.058,,29.8,1.0
184,O14734,Acyl-coenzyme A thioesterase 8,ACOT8,3.728,-3.432,+,Significant,-3.432,#N/A,4,2,2,10,11,5,22.313,21.942,22.439,25.816,25.929,25.245,,29.8,1.0
552,O95613,Pericentrin,PCNT,3.037,-3.416,+,Significant,-3.416,#N/A,0,0,1,7,5,9,20.579,20.160,19.618,23.107,23.461,24.035,,29.8,1.0
1388,P51659,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2,HSD17B4,3.269,-3.400,+,Significant,-3.400,#N/A,38,31,33,97,85,74,25.249,25.106,25.373,28.801,29.114,28.014,,29.8,1.0
431,O75521,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2,3.204,-3.382,+,Significant,-3.382,#N/A,6,3,4,18,18,16,22.167,22.474,22.699,25.956,26.294,25.237,,29.8,1.0
2066,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,ACOX1,3.029,-3.381,+,Significant,-3.381,#N/A,13,7,8,33,47,25,23.223,23.417,23.248,26.563,27.386,26.081,,29.8,1.0
477,O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",CLPX,3.310,-3.312,+,Significant,-3.312,#N/A,3,2,4,17,14,15,21.230,21.229,22.050,24.708,25.140,24.598,,29.8,1.0
2540,Q86WA8,"Lon protease homolog 2, peroxisomal",LONP2,3.093,-3.244,+,Significant,-3.244,#N/A,0,0,0,12,16,8,21.284,21.741,20.652,24.147,24.691,24.570,,29.8,1.0
3861,Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial",ACAD8,2.712,-3.228,+,Significant,-3.228,#N/A,0,1,0,0,2,3,21.164,21.126,20.446,23.388,24.414,24.618,,29.7,1.0
192,O14832,"Phytanoyl-CoA dioxygenase, peroxisomal",PHYH,2.808,-3.103,+,Significant,-3.103,#N/A,0,0,0,4,5,6,21.122,20.229,20.976,23.876,24.392,23.369,,29.7,1.0
1110,P34913,Bifunctional epoxide hydrolase 2;Cytosolic epoxide hydrolase 2;Lipid-phosphate phosphatase,EPHX2,1.916,-2.968,+,Significant,-2.968,#N/A,0,0,0,3,4,1,20.486,20.153,22.158,24.126,24.235,23.339,,29.7,1.0
2917,Q96B96,Promethin,TMEM159,2.803,-2.902,+,Significant,-2.902,#N/A,0,0,0,2,1,2,20.525,19.299,19.773,22.539,22.776,22.987,,29.7,1.0
2159,Q16637,Survival motor neuron protein,SMN1,1.269,-2.867,+,Significant,-2.867,#N/A,1,0,1,5,0,2,23.204,19.756,20.833,24.712,23.783,23.899,,29.7,1.0
1094,P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial",PYCR1,3.696,-2.856,+,Significant,-2.856,#N/A,28,19,22,45,43,52,25.489,25.492,25.699,28.018,28.510,28.721,,29.7,1.0
2925,Q96C36,Pyrroline-5-carboxylate reductase 2,PYCR2,2.979,-2.855,+,Significant,-2.855,#N/A,13,8,8,22,24,24,23.099,23.536,23.515,25.654,26.383,26.677,,29.7,1.0
3465,Q9H9J2,"39S ribosomal protein L44, mitochondrial",MRPL44,4.001,-2.778,+,Significant,-2.778,#N/A,0,0,0,1,1,2,20.343,20.301,19.940,23.071,23.122,22.725,,29.7,1.0
2189,Q2T9J0,"Peroxisomal leader peptide-processing protease;Peroxisomal leader peptide-processing protease, 15 kDa form;Peroxisomal leader peptide-processing protease, 45 kDa form",TYSND1,1.890,-2.733,+,Significant,-2.733,#N/A,0,0,0,6,6,4,20.865,19.407,21.123,23.248,23.779,22.566,,29.7,1.0
3833,Q9UJ83,2-hydroxyacyl-CoA lyase 1,HACL1,2.321,-2.712,+,Significant,-2.712,#N/A,0,0,0,2,7,0,20.241,19.687,20.237,22.889,23.463,21.948,,29.7,1.0
642,P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial",PCCA,2.152,-2.701,+,Significant,-2.701,#N/A,3,1,1,8,13,10,20.711,21.244,19.638,22.749,23.435,23.512,,29.6,1.0
1922,Q13595,Transformer-2 protein homolog alpha,TRA2A,2.711,-2.663,+,Significant,-2.663,#N/A,1,2,1,2,2,1,19.860,19.541,20.579,23.050,22.555,22.366,,29.6,1.0
3491,Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,4.019,-2.625,+,Significant,-2.625,#N/A,8,6,10,24,18,18,23.419,23.656,23.940,26.260,26.437,26.196,,29.6,1.0
3344,Q9H078,Caseinolytic peptidase B protein homolog,CLPB,2.520,-2.563,+,Significant,-2.563,#N/A,1,6,3,10,7,9,20.866,22.157,21.386,24.220,24.110,23.767,,29.6,1.0
3235,Q9BTZ2,Dehydrogenase/reductase SDR family member 4,DHRS4,3.287,-2.556,+,Significant,-2.556,#N/A,0,0,0,3,3,2,20.829,20.394,20.967,23.112,23.649,23.100,,29.6,1.0
2425,Q6YN16,Hydroxysteroid dehydrogenase-like protein 2,HSDL2,2.268,-2.547,+,Significant,-2.547,#N/A,5,6,4,9,8,7,24.053,24.338,22.951,26.348,26.652,25.985,,29.6,1.0
3963,Q9Y2Q3,Glutathione S-transferase kappa 1,GSTK1,3.122,-2.534,+,Significant,-2.534,#N/A,8,3,5,15,13,11,23.728,23.270,23.246,25.894,26.362,25.591,,29.6,1.0
1148,P35914,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",HMGCL,4.011,-2.514,+,Significant,-2.514,#N/A,5,3,3,5,7,7,21.705,21.697,21.658,24.246,24.452,23.903,,29.6,1.0
2689,Q8ND56,Protein LSM14 homolog A,LSM14A,1.344,-2.409,+,Significant,-2.409,#N/A,3,2,1,5,3,6,22.794,22.863,20.362,24.497,24.104,24.647,,29.6,1.0
1066,P30622,CAP-Gly domain-containing linker protein 1,CLIP1,1.700,-2.391,+,Significant,-2.391,#N/A,1,0,1,5,3,3,21.257,21.577,19.603,23.485,23.260,22.866,,29.6,1.0
2024,Q14764,Major vault protein,MVP,2.112,-2.374,+,Significant,-2.374,#N/A,0,0,0,7,9,8,19.792,20.507,21.446,22.966,22.968,22.931,,29.5,1.0
4056,Q9Y597,BTB/POZ domain-containing protein KCTD3,KCTD3,1.475,-2.288,+,Significant,-2.288,#N/A,0,0,0,3,6,4,21.063,21.930,19.522,22.872,23.130,23.377,,29.5,1.0
1822,Q12849,G-rich sequence factor 1,GRSF1,2.847,-2.285,+,Significant,-2.285,#N/A,5,3,3,10,14,6,22.255,22.637,22.300,24.620,25.170,24.258,,29.5,1.0
3298,Q9BY49,Peroxisomal trans-2-enoyl-CoA reductase,PECR,2.438,-2.245,+,Significant,-2.245,#N/A,0,0,1,5,6,2,20.901,20.834,20.367,22.812,23.568,22.458,,29.5,1.0
510,O95159,Zinc finger protein-like 1,ZFPL1,1.581,-2.219,+,Significant,-2.219,#N/A,1,0,1,2,2,0,20.049,19.702,19.887,22.403,23.018,20.875,,29.5,1.0
3986,Q9Y315,Deoxyribose-phosphate aldolase,DERA,2.092,-2.206,+,Significant,-2.206,#N/A,8,6,10,12,12,18,24.281,23.960,24.354,25.836,26.119,27.257,,29.5,1.0
684,P07902,Galactose-1-phosphate uridylyltransferase,GALT,3.122,-2.172,+,Significant,-2.172,#N/A,0,0,0,2,1,3,20.312,20.580,20.265,22.237,22.475,22.961,,29.5,1.0
2789,Q8WVK2,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,SNRNP27,3.354,-2.171,+,Significant,-2.171,#N/A,1,0,1,2,2,1,19.743,19.867,20.237,22.043,22.393,21.925,,29.5,1.0
4045,Q9Y4W6,AFG3-like protein 2,AFG3L2,1.669,-2.136,+,Significant,-2.136,#N/A,3,1,0,2,4,4,19.284,21.233,20.655,22.404,22.520,22.656,,29.5,1.0
614,P04040,Catalase,CAT,2.347,-2.086,+,Significant,-2.086,#N/A,14,11,14,23,27,16,25.249,25.185,25.381,27.319,27.996,26.759,,29.5,1.0
3053,Q96MU7,YTH domain-containing protein 1,YTHDC1,1.689,-2.083,+,Significant,-2.083,#N/A,0,0,0,0,1,0,20.602,20.094,19.035,22.047,22.512,21.419,,29.4,1.0
440,O75607,Nucleoplasmin-3,NPM3,2.260,-2.070,+,Significant,-2.070,#N/A,2,0,1,3,2,1,20.226,20.553,20.058,21.654,22.615,22.779,,29.4,1.0
3492,Q9HCD5,Nuclear receptor coactivator 5,NCOA5,2.202,-2.030,+,Significant,-2.030,#N/A,1,0,1,2,1,8,21.108,21.636,20.960,22.870,23.009,23.914,,29.4,1.0
2201,Q3SY69,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,ALDH1L2,3.743,-2.014,+,Significant,-2.014,#N/A,2,4,5,13,17,11,21.623,21.268,21.759,23.555,23.628,23.507,,29.4,1.0
2612,Q8IZ83,Aldehyde dehydrogenase family 16 member A1,ALDH16A1,3.775,-2.011,+,Significant,-2.011,#N/A,10,7,11,14,17,16,23.800,23.953,24.008,25.677,25.987,26.130,,29.4,1.0
3010,Q96IJ6,Mannose-1-phosphate guanyltransferase alpha,GMPPA,2.341,-1.988,+,Significant,-1.988,#N/A,2,1,2,4,4,2,20.173,21.312,20.892,22.890,22.865,22.586,,29.4,1.0
3274,Q9BW92,"Threonine--tRNA ligase, mitochondrial",TARS2,1.369,-1.986,+,Significant,-1.986,#N/A,1,0,4,6,2,2,20.072,19.804,21.915,22.836,22.375,22.536,,29.4,1.0
193,O14874,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",BCKDK,4.180,-1.969,+,Significant,-1.969,#N/A,3,3,6,6,4,6,22.913,23.257,23.112,25.119,25.118,24.951,,29.4,1.0
2386,Q6P587,"Acylpyruvase FAHD1, mitochondrial",FAHD1,3.206,-1.951,+,Significant,-1.951,#N/A,2,2,1,1,1,1,20.317,20.753,20.888,22.641,22.758,22.411,,29.4,1.0
3896,Q9UN81,LINE-1 retrotransposable element ORF1 protein,L1RE1,2.527,-1.945,+,Significant,-1.945,#N/A,2,0,1,1,1,3,19.874,20.751,20.208,22.434,21.909,22.326,,29.4,1.0
1789,Q08378,Golgin subfamily A member 3,GOLGA3,1.905,-1.907,+,Significant,-1.907,#N/A,11,3,9,13,17,21,22.499,21.467,22.775,23.984,23.944,24.535,,29.3,1.0
2455,Q7L2E3,Putative ATP-dependent RNA helicase DHX30,DHX30,3.673,-1.901,+,Significant,-1.901,#N/A,11,3,4,15,14,10,23.709,23.478,23.847,25.598,25.744,25.394,,29.3,1.0
643,P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB,3.608,-1.846,+,Significant,-1.846,#N/A,3,2,5,6,7,6,21.617,21.656,21.886,23.322,23.721,23.656,,29.3,1.0
2303,Q5VU43,Myomegalin,PDE4DIP,1.951,-1.838,+,Significant,-1.838,#N/A,0,0,0,1,1,2,19.669,20.256,20.800,22.578,21.890,21.771,,29.3,1.0
2166,Q16740,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",CLPP,2.831,-1.830,+,Significant,-1.830,#N/A,2,1,0,0,3,8,21.311,21.518,21.462,22.806,23.474,23.500,,29.3,1.0
3641,Q9NWH9,SAFB-like transcription modulator,SLTM,1.543,-1.828,+,Significant,-1.828,#N/A,2,0,0,2,2,2,21.627,20.066,19.928,22.437,22.353,22.315,,29.3,1.0
1610,P62995,Transformer-2 protein homolog beta,TRA2B,2.770,-1.825,+,Significant,-1.825,#N/A,7,4,3,9,5,9,25.057,24.703,24.309,26.576,26.297,26.672,,29.3,1.0
3290,Q9BXW7,Cat eye syndrome critical region protein 5,CECR5,3.119,-1.790,+,Significant,-1.790,#N/A,8,7,8,5,9,6,22.633,22.794,22.946,24.238,24.748,24.755,,29.3,1.0
1171,P38159;Q96E39,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed;RNA binding motif protein, X-linked-like-1",RBMX;RBMXL1,2.325,-1.777,+,Significant,-1.777,#N/A,13,15,11,20,17,24,25.531,25.044,24.507,26.731,26.677,27.003,,29.3,1.0
3444,Q9H857,5-nucleotidase domain-containing protein 2,NT5DC2,1.547,-1.759,+,Significant,-1.759,#N/A,1,0,2,2,3,3,19.004,20.609,20.319,21.448,22.050,21.709,,29.3,1.0
