Protein ID,Gene,GR_1 Intensity,GR_2 Intensity,GR_3 Intensity,IgG_1 Intensity,IgG_2 Intensity,IgG_3 Intensity,GR_vs_IgG_log2 fold change,GR_vs_IgG_p.val,GR_vs_IgG_p.adj,significant
P43034,PAFAH1B1,7.28E+05,5.18E+05,8.57E+05,NA,NA,NA,12.1,5.29E-07,8.51E-05,TRUE
Q8IW35,CEP97,7.67E+04,5.96E+04,6.23E+04,NA,NA,NA,8.75,2.63E-06,1.48E-04,TRUE
P61978,HNRNPK,6.40E+04,1.45E+05,1.08E+05,NA,NA,NA,9.35,3.88E-06,1.48E-04,TRUE
P31943,HNRNPH1,3.12E+04,4.12E+04,4.17E+04,NA,NA,NA,7.95,4.77E-06,1.48E-04,TRUE
P52272,HNRNPM,4.05E+04,7.71E+04,4.62E+04,NA,NA,NA,8.42,5.47E-06,1.48E-04,TRUE
P0DP23,CALM1,1.89E+04,2.55E+04,2.11E+04,NA,NA,NA,7.15,8.50E-06,1.48E-04,TRUE
P00558,PGK1,3.50E+04,9.81E+04,6.42E+04,NA,NA,NA,8.63,9.17E-06,1.48E-04,TRUE
P04075,ALDOA,4.10E+04,1.18E+05,5.59E+04,NA,NA,NA,8.73,9.61E-06,1.48E-04,TRUE
P09429,HMGB1,2.56E+04,3.91E+04,2.12E+04,NA,NA,NA,7.5,9.66E-06,1.48E-04,TRUE
P07900,HSP90AA1,3.28E+04,9.52E+04,7.19E+04,NA,NA,NA,8.64,1.04E-05,1.48E-04,TRUE
Q13263,TRIM28,1.72E+04,1.82E+04,2.55E+04,NA,NA,NA,7.03,1.06E-05,1.48E-04,TRUE
P12956,XRCC6,1.92E+04,3.98E+04,2.97E+04,NA,NA,NA,7.53,1.13E-05,1.48E-04,TRUE
P42224,STAT1,1.76E+04,3.78E+04,3.71E+04,NA,NA,NA,7.57,1.41E-05,1.48E-04,TRUE
P04439,HLA-A,1.59E+04,2.14E+04,3.24E+04,NA,NA,NA,7.19,1.42E-05,1.48E-04,TRUE
P62249,RPS16,2.17E+04,5.60E+04,2.97E+04,NA,NA,NA,7.76,1.46E-05,1.48E-04,TRUE
P26583,HMGB2,1.28E+04,1.99E+04,1.47E+04,NA,NA,NA,6.67,1.47E-05,1.48E-04,TRUE
Q969G3,SMARCE1,1.19E+04,1.11E+04,1.46E+04,NA,NA,NA,6.35,1.63E-05,1.55E-04,TRUE
P25205,MCM3,9.42E+03,1.35E+04,1.33E+04,NA,NA,NA,6.29,1.95E-05,1.74E-04,TRUE
Q08211,DHX9,8.25E+03,1.29E+04,1.11E+04,NA,NA,NA,6.11,2.41E-05,2.04E-04,TRUE
Q15365,PCBP1,1.50E+04,3.21E+04,1.35E+04,NA,NA,NA,6.93,2.64E-05,2.12E-04,TRUE
P43243,MATR3,6.36E+03,9.75E+03,8.74E+03,NA,NA,NA,5.74,3.38E-05,2.54E-04,TRUE
P62318,SNRPD3,8.30E+03,1.99E+04,1.53E+04,NA,NA,NA,6.48,3.51E-05,2.54E-04,TRUE
P26599,PTBP1,7.04E+03,1.40E+04,1.31E+04,NA,NA,NA,6.15,3.63E-05,2.54E-04,TRUE
P04908,H2AC4,6.24E+03,1.02E+04,1.11E+04,NA,NA,NA,5.86,3.81E-05,2.55E-04,TRUE
P63244,RACK1,7.67E+03,1.72E+04,1.99E+04,NA,NA,NA,6.5,4.42E-05,2.84E-04,TRUE
P42229,STAT5A,5.45E+03,9.05E+03,6.85E+03,NA,NA,NA,5.51,4.58E-05,2.84E-04,TRUE
P50990,CCT8,8.81E+03,2.86E+04,2.20E+04,NA,NA,NA,6.86,4.96E-05,2.88E-04,TRUE
P60660,MYL6,1.06E+04,3.75E+04,1.67E+04,NA,NA,NA,6.94,5.02E-05,2.88E-04,TRUE
P35579,MYH9,1.80E+04,9.08E+04,3.04E+04,NA,NA,NA,7.91,5.19E-05,2.88E-04,TRUE
P04150,NR3C1,2.10E+06,1.55E+06,2.52E+06,1.53E+02,2.17E+03,NA,12.4,5.36E-05,2.88E-04,TRUE
Q13422,IKZF1,8.21E+03,7.28E+03,1.88E+04,NA,NA,NA,6.09,6.39E-05,3.32E-04,TRUE
P05787,KRT8,1.03E+04,1.38E+04,4.75E+03,NA,NA,NA,5.84,9.19E-05,4.62E-04,TRUE
P62851,RPS25,5.45E+03,1.73E+04,7.51E+03,NA,NA,NA,5.87,1.07E-04,5.24E-04,TRUE
P11940,PABPC1,5.59E+03,2.15E+04,1.79E+04,NA,NA,NA,6.4,1.14E-04,5.28E-04,TRUE
P62081,RPS7,7.72E+03,2.25E+04,6.57E+03,NA,NA,NA,6.1,1.16E-04,5.28E-04,TRUE
P83731,RPL24,1.20E+04,1.08E+04,1.27E+04,4.27E+02,NA,NA,5.78,1.18E-04,5.28E-04,TRUE
P35637,FUS,3.76E+03,8.81E+03,1.02E+04,NA,NA,NA,5.51,1.21E-04,5.28E-04,TRUE
Q99729,HNRNPAB,3.71E+03,1.03E+04,6.51E+03,NA,NA,NA,5.36,1.25E-04,5.30E-04,TRUE
P09874,PARP1,4.12E+03,1.59E+04,1.64E+04,NA,NA,NA,6.07,1.91E-04,7.87E-04,TRUE
Q09028,RBBP4,6.12E+03,4.15E+03,1.57E+04,NA,NA,NA,5.59,1.98E-04,7.94E-04,TRUE
P06753,TPM3,2.70E+03,7.46E+03,4.74E+03,NA,NA,NA,4.9,2.02E-04,7.94E-04,TRUE
P62277,RPS13,4.75E+03,2.13E+04,6.99E+03,NA,NA,NA,5.86,2.20E-04,8.45E-04,TRUE
P26641,EEF1G,3.92E+03,1.98E+04,1.23E+04,NA,NA,NA,6.01,2.37E-04,8.88E-04,TRUE
P62263,RPS14,4.81E+03,3.75E+04,1.54E+04,NA,NA,NA,6.52,3.19E-04,1.17E-03,TRUE
P20591,MX1,7.76E+03,2.06E+04,3.61E+03,NA,NA,NA,5.77,3.44E-04,1.23E-03,TRUE
P25398,RPS12,3.19E+03,1.67E+04,4.98E+03,NA,NA,NA,5.39,4.63E-04,1.62E-03,TRUE
