#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
3872	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Chen X (2002)	11752352	171740	173	Flunisolide	Flunisolide|Flunisolida|Flunisolide anhydrous|Flunisolidum	flunisolide|pms-flunisolide|no	DRUGBANK	DB00180	C24H31FO6	small molecule	R03BA03|R01AD04	3385-03-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	XSFJVAJPIHIPKU-XWCQMRHXSA-N
3873	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Hochhaus G (1990)	2386110	174125	173	Flunisolide	Flunisolide|Flunisolida|Flunisolide anhydrous|Flunisolidum	flunisolide|pms-flunisolide|no	DRUGBANK	DB00180	C24H31FO6	small molecule	R03BA03|R01AD04	3385-03-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	XSFJVAJPIHIPKU-XWCQMRHXSA-N
3874	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Hoegger P (1998)	9523318	174124	173	Flunisolide	Flunisolide|Flunisolida|Flunisolide anhydrous|Flunisolidum	flunisolide|pms-flunisolide|no	DRUGBANK	DB00180	C24H31FO6	small molecule	R03BA03|R01AD04	3385-03-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	XSFJVAJPIHIPKU-XWCQMRHXSA-N
3875	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Philibert D (1993)	8466638	174127	173	Flunisolide	Flunisolide|Flunisolida|Flunisolide anhydrous|Flunisolidum	flunisolide|pms-flunisolide|no	DRUGBANK	DB00180	C24H31FO6	small molecule	R03BA03|R01AD04	3385-03-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	XSFJVAJPIHIPKU-XWCQMRHXSA-N
3876	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Valotis A (2004)	15285788	174126	173	Flunisolide	Flunisolide|Flunisolida|Flunisolide anhydrous|Flunisolidum	flunisolide|pms-flunisolide|no	DRUGBANK	DB00180	C24H31FO6	small molecule	R03BA03|R01AD04	3385-03-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	XSFJVAJPIHIPKU-XWCQMRHXSA-N
3877	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Johnson M (1998)	9563368	174123	173	Flunisolide	Flunisolide|Flunisolida|Flunisolide anhydrous|Flunisolidum	flunisolide|pms-flunisolide|no	DRUGBANK	DB00180	C24H31FO6	small molecule	R03BA03|R01AD04	3385-03-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	XSFJVAJPIHIPKU-XWCQMRHXSA-N
3878	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Badia L (2001)	11368283	174122	173	Flunisolide	Flunisolide|Flunisolida|Flunisolide anhydrous|Flunisolidum	flunisolide|pms-flunisolide|no	DRUGBANK	DB00180	C24H31FO6	small molecule	R03BA03|R01AD04	3385-03-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	XSFJVAJPIHIPKU-XWCQMRHXSA-N
4428	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Pearce DJ (2004)	15764038	174491	216	Diflorasone	(6,11,16)-6,9-difluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione|Diflorasonum|(6alpha,11beta,16beta)-6,9-Difluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione|Diflorasona	diflorasone diacetate|apexicon	DRUGBANK	DB00223	C22H28F2O5	small molecule	D07AC10	2557-49-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	WXURHACBFYSXBI-XHIJKXOTSA-N
4630	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Labeur M (2010)	20920967	174580	233	Alclometasone	7-Chloro-16-methylprednisolone|(7alpha,11beta,16alpha)-7-chloro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione	aclovate|alclometasone dipropi	DRUGBANK	DB00240	C22H29ClO5	small molecule	D07AB10|S01BA10	67452-97-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	FJXOGVLKCZQRDN-PHCHRAKRSA-N
4631	109165	2908	-	NR3C1	GCCR|GCR|GCRST|GR|GRL	9606	Homo sapiens	agonist	target	Hofmann TG (1998)	9891987	174579	233	Alclometasone	7-Chloro-16-methylprednisolone|(7alpha,11beta,16alpha)-7-chloro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione	aclovate|alclometasone dipropi	DRUGBANK	DB00240	C22H29ClO5	small molecule	D07AB10|S01BA10	67452-97-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	FJXOGVLKCZQRDN-PHCHRAKRSA-N
