Protein.Group,Genes,Peptides,Min*(PG.Q.Value),GR_vs_IgG_log2 fold change,GR_vs_IgG_p.val,GR_vs_IgG_p.adj,significant,GR_1 Intensity,GR_2 Intensity,GR_3 Intensity,IgG_1 Intensity,IgG_2 Intensity,IgG_3 Intensity
P43034,PAFAH1B1,18,1.64E-03,12.9,3.22E-07,1.30E-04,TRUE,5.85E+05,5.50E+05,6.02E+05,,,
Q8IW35,CEP97,13,1.64E-03,10.1,1.30E-06,2.61E-04,TRUE,8.96E+04,8.53E+04,7.70E+04,,,
Q15306,IRF4,6,1.64E-03,8.9,2.75E-06,2.98E-04,TRUE,3.26E+04,3.60E+04,4.05E+04,,,
Q13561,DCTN2,4,1.64E-03,8.04,4.63E-06,2.98E-04,TRUE,1.97E+04,1.89E+04,2.15E+04,,,
P51692_P42229,STAT5A;STAT5B,7,1.64E-03,8.14,4.96E-06,2.98E-04,TRUE,1.84E+04,2.55E+04,2.09E+04,,,
Q969G3,SMARCE1,4,1.64E-03,7.96,5.11E-06,2.98E-04,TRUE,1.80E+04,1.76E+04,2.13E+04,,,
Q13422,IKZF1,2,1.64E-03,7.61,6.27E-06,2.98E-04,TRUE,1.42E+04,1.46E+04,1.60E+04,,,
Q09028_Q16576,RBBP4;RBBP7,4,1.64E-03,7.81,7.72E-06,2.98E-04,TRUE,1.30E+04,2.17E+04,1.77E+04,,,
Q9NV70,EXOC1,3,1.64E-03,7.3,8.64E-06,2.98E-04,TRUE,1.11E+04,1.41E+04,1.10E+04,,,
P02768_ALBU_HUMAN,ALB,3,1.64E-03,7.33,9.16E-06,2.98E-04,TRUE,1.44E+04,1.00E+04,1.26E+04,,,
P63165_G2XKQ0_SUMO1_HUMAN,SUMO1;SUMO1P1,2,1.64E-03,7.1,9.42E-06,2.98E-04,TRUE,9.52E+03,1.06E+04,1.13E+04,,,
O43303,CCP110,4,1.64E-03,7.38,1.07E-05,2.98E-04,TRUE,1.13E+04,1.72E+04,1.05E+04,,,
P39019,RPS19,3,1.64E-03,7.88,1.12E-05,2.98E-04,TRUE,1.35E+04,2.80E+04,1.52E+04,,,
O00139,KIF2A,4,1.64E-03,6.96,1.14E-05,2.98E-04,TRUE,8.25E+03,1.09E+04,9.33E+03,,,
Q92925,SMARCD2,4,1.64E-03,7.48,1.22E-05,2.98E-04,TRUE,9.32E+03,1.75E+04,1.53E+04,,,
Q13951,CBFB,4,1.64E-03,7.19,1.26E-05,2.98E-04,TRUE,8.16E+03,1.26E+04,1.34E+04,,,
P31689,DNAJA1,2,1.64E-03,6.67,1.41E-05,2.98E-04,TRUE,6.70E+03,8.60E+03,8.05E+03,,,
P55036,PSMD4,3,1.64E-03,6.79,1.45E-05,2.98E-04,TRUE,7.04E+03,1.04E+04,8.16E+03,,,
O00299,CLIC1,2,1.64E-03,6.66,1.48E-05,2.98E-04,TRUE,7.14E+03,9.21E+03,6.92E+03,,,
P26599,PTBP1,4,1.64E-03,7.48,1.48E-05,2.98E-04,TRUE,9.04E+03,1.42E+04,1.96E+04,,,
O00567,NOP56,3,1.64E-03,6.74,1.64E-05,3.14E-04,TRUE,6.22E+03,8.96E+03,9.63E+03,,,
P43403,ZAP70,4,1.64E-03,6.55,1.78E-05,3.14E-04,TRUE,6.88E+03,5.96E+03,8.91E+03,,,
Q92841,DDX17,6,1.64E-03,7.36,1.80E-05,3.14E-04,TRUE,8.38E+03,1.93E+04,1.21E+04,,,
