Protein ID,Gene,GR_1 Intensity,GR_2 Intensity,GR_3 Intensity,IgG_1 Intensity,IgG_2 Intensity,IgG_3 Intensity,GR_vs_IgG_log2 fold change,GR_vs_IgG_p.val,GR_vs_IgG_p.adj,significant
P43034,PAFAH1B1,1.80E+07,1.34E+07,1.62E+07,NA,NA,NA,9.85,2.23E-07,3.91E-05,TRUE
P04150,NR3C1,1.41E+08,1.14E+08,1.44E+08,8.40E+04,NA,5.65E+04,11.6,2.34E-06,1.02E-04,TRUE
P52272,HNRNPM,1.56E+06,1.32E+06,1.65E+06,NA,1.70E+04,NA,6.47,2.61E-06,1.02E-04,TRUE
P61313,RPL15,1.30E+06,1.48E+06,1.25E+06,NA,NA,NA,6.3,2.89E-06,1.02E-04,TRUE
P14618,PKM,3.32E+06,6.14E+06,2.50E+06,NA,NA,NA,7.77,3.50E-06,1.02E-04,TRUE
P22626,HNRNPA2B1,2.89E+06,6.07E+06,2.58E+06,NA,NA,NA,7.71,3.76E-06,1.02E-04,TRUE
P16403,H1-2,1.37E+06,9.94E+05,1.03E+06,NA,NA,NA,6.04,4.57E-06,1.02E-04,TRUE
P60842,EIF4A1,1.16E+06,1.75E+06,1.11E+06,NA,NA,NA,6.27,4.77E-06,1.02E-04,TRUE
P17844,DDX5,8.34E+05,1.22E+06,9.99E+05,NA,NA,NA,5.89,5.56E-06,1.02E-04,TRUE
P01893,HLA-H,1.68E+06,9.40E+05,1.30E+06,NA,NA,NA,6.22,5.85E-06,1.02E-04,TRUE
P62424,RPL7A,8.09E+05,1.13E+06,7.35E+05,NA,NA,NA,5.69,7.68E-06,1.15E-04,TRUE
P07900,HSP90AA1,1.42E+06,3.79E+06,1.90E+06,NA,NA,NA,7,8.34E-06,1.15E-04,TRUE
P06899,H2BC11,1.03E+06,2.18E+06,2.44E+06,NA,NA,NA,6.7,8.88E-06,1.15E-04,TRUE
P31943,HNRNPH1,1.13E+06,2.00E+06,9.24E+05,NA,NA,NA,6.23,9.67E-06,1.15E-04,TRUE
P61978,HNRNPK,1.36E+06,2.40E+06,9.98E+05,NA,NA,NA,6.45,9.84E-06,1.15E-04,TRUE
P42224,STAT1,1.03E+06,8.92E+05,5.60E+05,NA,NA,NA,5.56,1.29E-05,1.28E-04,TRUE
P20700,LMNB1,8.54E+05,1.19E+06,6.01E+05,NA,NA,NA,5.64,1.32E-05,1.28E-04,TRUE
P61353,RPL27,7.18E+05,1.48E+06,8.34E+05,NA,NA,NA,5.82,1.32E-05,1.28E-04,TRUE
P23246,SFPQ,6.24E+05,7.45E+05,4.74E+05,NA,NA,NA,5.15,1.39E-05,1.28E-04,TRUE
P04234,CD3D,4.11E+06,2.05E+06,1.13E+06,NA,NA,NA,6.96,1.77E-05,1.50E-04,TRUE
P13639,EEF2,9.86E+05,3.20E+06,1.54E+06,NA,NA,NA,6.64,1.80E-05,1.50E-04,TRUE
Q16629,SRSF7,4.18E+05,4.94E+05,3.74E+05,NA,NA,NA,4.65,1.95E-05,1.55E-04,TRUE
P26599,PTBP1,1.29E+06,1.25E+06,5.48E+05,NA,NA,NA,5.82,2.22E-05,1.69E-04,TRUE
P60660,MYL6,6.08E+05,1.20E+06,5.40E+05,NA,NA,NA,5.43,2.51E-05,1.83E-04,TRUE
P62753,RPS6,4.27E+05,9.80E+05,7.47E+05,NA,NA,NA,5.32,2.75E-05,1.92E-04,TRUE
Q01826,SATB1,5.36E+05,4.69E+05,3.19E+05,NA,NA,NA,4.66,2.93E-05,1.97E-04,TRUE
P62826,RAN,9.91E+05,2.00E+06,6.35E+05,NA,NA,NA,5.99,3.04E-05,1.97E-04,TRUE
Q13263,TRIM28,3.37E+05,5.75E+05,6.75E+05,NA,NA,NA,4.9,3.32E-05,2.07E-04,TRUE
P0CG47,UBB,9.86E+05,4.74E+06,1.88E+06,NA,NA,NA,6.92,3.79E-05,2.20E-04,TRUE
P62857,RPS28,2.98E+05,5.20E+05,3.53E+05,NA,NA,NA,4.48,3.95E-05,2.20E-04,TRUE
P35579,MYH9,1.44E+06,4.25E+06,2.29E+06,NA,4.28E+04,NA,6.71,3.96E-05,2.20E-04,TRUE
P23396,RPS3,6.00E+05,1.67E+06,6.46E+05,NA,NA,NA,5.67,4.02E-05,2.20E-04,TRUE
P07737,PFN1,3.12E+06,4.06E+06,2.52E+06,NA,6.79E+04,NA,6.88,4.91E-05,2.60E-04,TRUE
P40429,RPL13A,3.76E+05,7.95E+05,3.70E+05,NA,NA,NA,4.82,5.22E-05,2.65E-04,TRUE
P07910,HNRNPC,9.20E+05,2.27E+06,5.87E+05,NA,NA,NA,5.98,5.43E-05,2.65E-04,TRUE
Q00839,HNRNPU,5.60E+05,2.36E+06,1.37E+06,NA,NA,NA,6.16,5.46E-05,2.65E-04,TRUE
P08238,HSP90AB1,4.41E+06,1.22E+07,6.91E+06,NA,8.61E+04,NA,7.94,6.05E-05,2.80E-04,TRUE
P08865,RPSA,5.38E+05,1.13E+06,3.85E+05,NA,NA,NA,5.18,6.09E-05,2.80E-04,TRUE
P46013,MKI67,5.86E+05,2.57E+05,4.99E+05,NA,NA,NA,4.63,6.57E-05,2.95E-04,TRUE
P22087,FBL,2.22E+05,3.74E+05,4.30E+05,NA,NA,NA,4.28,6.82E-05,2.99E-04,TRUE
P18124,RPL7,3.25E+05,9.68E+05,5.34E+05,NA,NA,NA,5.02,7.20E-05,3.00E-04,TRUE
P62266,RPS23,2.36E+05,4.26E+05,2.62E+05,NA,NA,NA,4.13,7.21E-05,3.00E-04,TRUE
P15880,RPS2,3.40E+05,1.10E+06,9.56E+05,NA,NA,NA,5.38,7.72E-05,3.14E-04,TRUE
P60866,RPS20,4.09E+05,7.66E+05,2.75E+05,NA,NA,NA,4.7,8.96E-05,3.56E-04,TRUE
P32969,RPL9,4.91E+05,1.17E+06,3.39E+05,NA,NA,NA,5.09,1.04E-04,4.03E-04,TRUE
Q15365,PCBP1,3.15E+05,1.13E+06,5.40E+05,NA,NA,NA,5.09,1.09E-04,4.13E-04,TRUE
P53999,SUB1,1.63E+05,3.20E+05,2.44E+05,NA,NA,NA,3.78,1.32E-04,4.91E-04,TRUE
Q14980,NUMA1,4.00E+05,2.11E+05,6.22E+05,NA,NA,NA,4.46,1.38E-04,5.05E-04,TRUE
P39748,FEN1,1.68E+05,3.83E+05,3.10E+05,NA,NA,NA,4,1.46E-04,5.23E-04,TRUE
P63244,RACK1,1.99E+05,5.95E+05,4.45E+05,NA,NA,NA,4.46,1.57E-04,5.39E-04,TRUE
Q15366,PCBP2,2.94E+05,9.60E+05,3.43E+05,NA,NA,NA,4.76,1.60E-04,5.39E-04,TRUE
P26373,RPL13,3.06E+05,1.22E+06,4.59E+05,NA,NA,NA,5.03,1.63E-04,5.39E-04,TRUE
Q06830,PRDX1,5.15E+05,2.54E+06,6.21E+05,NA,1.79E+04,NA,5.75,1.63E-04,5.39E-04,TRUE
P07195,LDHB,3.49E+05,7.84E+05,2.29E+05,NA,NA,NA,4.55,1.88E-04,6.11E-04,TRUE
P62913,RPL11,4.55E+05,1.05E+06,2.48E+05,NA,NA,NA,4.85,2.12E-04,6.70E-04,TRUE
P62937,PPIA,2.08E+06,7.04E+06,1.34E+06,NA,6.15E+04,NA,6.69,2.14E-04,6.70E-04,TRUE
Q13422,IKZF1,1.42E+05,2.74E+05,1.63E+05,NA,NA,NA,3.44,2.31E-04,7.09E-04,TRUE
Q15717,ELAVL1,1.36E+05,2.09E+05,1.32E+05,NA,NA,NA,3.19,2.47E-04,7.35E-04,TRUE
P02662,CSN1S1,6.65E+05,3.24E+05,4.87E+05,NA,4.19E+04,NA,4.36,2.48E-04,7.35E-04,TRUE
P31146,CORO1A,5.32E+05,4.08E+06,8.44E+05,NA,NA,NA,6.17,2.56E-04,7.41E-04,TRUE
Q13951,CBFB,1.79E+05,2.54E+05,1.26E+05,NA,NA,NA,3.4,2.58E-04,7.41E-04,TRUE
Q969G3,SMARCE1,8.65E+05,2.00E+05,5.46E+05,NA,NA,NA,4.74,2.70E-04,7.63E-04,TRUE
Q9NR30,DDX21,1.11E+05,1.54E+05,1.21E+05,NA,NA,NA,2.9,3.13E-04,8.71E-04,TRUE
P00338,LDHA,1.09E+06,2.98E+06,7.48E+05,NA,6.07E+04,NA,5.69,3.35E-04,9.14E-04,TRUE
P23528,CFL1,1.05E+06,1.89E+06,6.31E+05,NA,6.46E+04,NA,5.35,3.40E-04,9.14E-04,TRUE
P62805,H4C1,1.90E+07,4.35E+07,2.75E+07,2.35E+06,1.98E+06,9.37E+05,4.12,3.56E-04,9.43E-04,TRUE
P62263,RPS14,2.32E+05,1.13E+06,3.54E+05,NA,NA,NA,4.74,3.80E-04,9.93E-04,TRUE
P43243,MATR3,1.91E+05,4.98E+05,1.50E+05,NA,NA,NA,3.84,5.04E-04,1.30E-03,TRUE
