"","condition","cellline"
"Jurkat-1","Dex","Jurkat"
"Jurkat-2","DMSO","Jurkat"
"Jurkat-3","Dex","Jurkat"
"Jurkat-4","DMSO","Jurkat"
"Jurkat-5","Dex","Jurkat"
"Jurkat-6","DMSO","Jurkat"
"KMBC2-10","Dex","KMBC2"
"KMBC2-11","DMSO","KMBC2"
"KMBC2-3","Dex","KMBC2"
"KMBC2-4","DMSO","KMBC2"
"KMBC2-7","Dex","KMBC2"
"KMBC2-8","DMSO","KMBC2"
"M231-3","Dex","M231"
"M231-4","DMSO","M231"
"M231-55","Dex","M231"
"M231-66","DMSO","M231"
"M231-77","Dex","M231"
"M231-88","DMSO","M231"
"M468-C","Dex","M468"
"M468-D","DMSO","M468"
"M468-E","Dex","M468"
"M468-F","DMSO","M468"
"M468-I","Dex","M468"
"M468-J","DMSO","M468"
"MCF7-11","Dex","MCF7"
"MCF7-22","DMSO","MCF7"
"MCF7-33","Dex","MCF7"
"MCF7-44","DMSO","MCF7"
"MCF7-B","Dex","MCF7"
"MCF7-D","DMSO","MCF7"
"MOLT4-3","Dex","MOLT4"
"MOLT4-4","DMSO","MOLT4"
"MOLT4-5","Dex","MOLT4"
"MOLT4-6","DMSO","MOLT4"
"MOLT4-7","Dex","MOLT4"
"MOLT4-8","DMSO","MOLT4"
"T47D-0707E","Dex","T47D"
"T47D-0707F","DMSO","T47D"
"T47D-0707G","Dex","T47D"
"T47D-0707H","DMSO","T47D"
"T47D-2606A","Dex","T47D"
"T47D-2606B","DMSO","T47D"
"UMUC9-1","Dex","UMUC9"
"UMUC9-2","DMSO","UMUC9"
"UMUC9-5","Dex","UMUC9"
"UMUC9-6","DMSO","UMUC9"
"UMUC9-9","Dex","UMUC9"
"UMUC9-10","DMSO","UMUC9"
