SRX,Antigen,Sex,Description,Treatment,Time,Antibody,Ref,Comments
SRX3229190,PGR,Male,Tumour,Clinical Sample,,sc-7208,https://www.ncbi.nlm.nih.gov/pubmed/29396493,
SRX3229161,ER,Male,Tumour,Clinical Sample,,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/29396493,
SRX186804,ER,Female,Tumour,Clinical Sample,,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/26484094,
SRX3229172,AR,Male,Tumour,Clinical Sample,,sc-816,https://www.ncbi.nlm.nih.gov/pubmed/29396493,
SRX3229168,AR,Male,Tumour,Clinical Sample,,sc-816,https://www.ncbi.nlm.nih.gov/pubmed/29396493,
SRX3229173,AR,Male,Tumour,Clinical Sample,,sc-816,https://www.ncbi.nlm.nih.gov/pubmed/29396493,
SRX5702625,ER,Female,PDX,DHT,,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/33462444,
SRX5702624,ER,Female,PDX,SARM,,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/33462444,
SRX5493769,ER,Female,PDX,Vehicle,,cocktail,Dana Faber,HCI-005 breast cancer PDX
SRX5493763,ER,Female,PDX,Vehicle,,cocktail,Dana Faber,HCI-005 breast cancer PDX
SRX5323930,ER,Female,Tumour,Clinical Sample,,cocktail,https://www.ncbi.nlm.nih.gov/pubmed/32679107,Stat High?
SRX5323929,ER,Female,Tumour,Clinical Sample,,cocktail,https://www.ncbi.nlm.nih.gov/pubmed/32679107,Stat High?
SRX4116034,ER,Female,Tumour,Clinical Sample,,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/30620009,
SRX3229157,AR,Female,PDX,Enobosarm,5 Days,Ab74272,Dana Faber,Unclear as not published
SRX7262858,AR,Female,PDX,DHT,5 Days,Ab74272,Dana Faber,Unclear as not published
SRX3229165,ER,Male,Tumour,,,,,
SRX3229164,ER,Male,Tumour,,,,,
SRX3229163,ER,Male,Tumour,,,,,
SRX3229156,ER,Male,Tumour,,,,,
SRX3229155,ER,Male,Tumour,,,,,
SRX3229154,ER,Male,Tumour,,,,,
SRX3229153,ER,Male,Tumour,,,,,
SRX3229152,ER,Male,Tumour,,,,,
SRX3229151,ER,Male,Tumour,,,,,
SRX3229150,ER,Male,Tumour,,,,,
SRX3229149,ER,Male,Tumour,,,,,
SRX3229148,ER,Male,Tumour,,,,,
SRX3229147,ER,Male,Tumour,,,,,
SRX3229146,ER,Male,Tumour,,,,,
SRX3229144,ER,Male,Tumour,,,,,
SRX3229143,ER,Male,Tumour,,,,,
SRX3229142,ER,Male,Tumour,,,,,
SRX3229140,ER,Male,Tumour,,,,,
SRX3229139,ER,Male,Tumour,,,,,
SRX3229136,ER,Male,Tumour,,,,,
SRX3229132,ER,Female,Tumour,,,,,
SRX3229121,ER,Female,Tumour,,,,,
SRX2897201,ER,Female,PDX,,,,,
SRX186824,ER,Female,Tumour,,,,,
SRX186821,ER,Female,Tumour,,,,,
SRX186813,ER,Female,Tumour,,,,,
SRX186810,ER,Female,Tumour,,,,,
SRX186807,ER,Female,Tumour,,,,,
SRX3229145,ER,Male,Tumour,,,,,
SRX2897197,ER,Female,PDX,,,,,
