#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
4870	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Chen X (2002)	11752352	171740	248	Diethylstilbestrol	trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol|4,4'-Dihydroxy-alpha,beta-diethylstilbene|,'-diethyl-(E)-4,4'-stilbenediol|trans-Diethylstilbesterol|Diethylstilbestrol|Stilboestrol|(E)-3,4-bis(4-hydroxyphenyl)-3-hexene|4,4'-dihydroxy-,-diethylstilbene|DES|(e)-4,4'-(1,2-Diethyl-1,2-ethenediyl)bisphenol|Dietilestilbestrol|trans-Diethylstilboesterol|Diethylstilbestrolum|Distilbene|trans-Diethylstilbestrol|alpha,Alpha'-diethyl-(e)-4,4'-stilbenediol	stilbestrol 1.0mg tablet|stilb	DRUGBANK	DB00255	C18H20O2	small molecule	G03CB02|L02AA04|G03CC05|L02AA01	56-53-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RGLYKWWBQGJZGM-ISLYRVAYSA-N
4871	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Baron S (2007)	17317669	116189	248	Diethylstilbestrol	trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol|4,4'-Dihydroxy-alpha,beta-diethylstilbene|,'-diethyl-(E)-4,4'-stilbenediol|trans-Diethylstilbesterol|Diethylstilbestrol|Stilboestrol|(E)-3,4-bis(4-hydroxyphenyl)-3-hexene|4,4'-dihydroxy-,-diethylstilbene|DES|(e)-4,4'-(1,2-Diethyl-1,2-ethenediyl)bisphenol|Dietilestilbestrol|trans-Diethylstilboesterol|Diethylstilbestrolum|Distilbene|trans-Diethylstilbestrol|alpha,Alpha'-diethyl-(e)-4,4'-stilbenediol	stilbestrol 1.0mg tablet|stilb	DRUGBANK	DB00255	C18H20O2	small molecule	G03CB02|L02AA04|G03CC05|L02AA01	56-53-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RGLYKWWBQGJZGM-ISLYRVAYSA-N
4872	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Hart SA (2007)	17314305	174699	248	Diethylstilbestrol	trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol|4,4'-Dihydroxy-alpha,beta-diethylstilbene|,'-diethyl-(E)-4,4'-stilbenediol|trans-Diethylstilbesterol|Diethylstilbestrol|Stilboestrol|(E)-3,4-bis(4-hydroxyphenyl)-3-hexene|4,4'-dihydroxy-,-diethylstilbene|DES|(e)-4,4'-(1,2-Diethyl-1,2-ethenediyl)bisphenol|Dietilestilbestrol|trans-Diethylstilboesterol|Diethylstilbestrolum|Distilbene|trans-Diethylstilbestrol|alpha,Alpha'-diethyl-(e)-4,4'-stilbenediol	stilbestrol 1.0mg tablet|stilb	DRUGBANK	DB00255	C18H20O2	small molecule	G03CB02|L02AA04|G03CC05|L02AA01	56-53-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RGLYKWWBQGJZGM-ISLYRVAYSA-N
4873	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Kwok KC (2010)	20387803	174698	248	Diethylstilbestrol	trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol|4,4'-Dihydroxy-alpha,beta-diethylstilbene|,'-diethyl-(E)-4,4'-stilbenediol|trans-Diethylstilbesterol|Diethylstilbestrol|Stilboestrol|(E)-3,4-bis(4-hydroxyphenyl)-3-hexene|4,4'-dihydroxy-,-diethylstilbene|DES|(e)-4,4'-(1,2-Diethyl-1,2-ethenediyl)bisphenol|Dietilestilbestrol|trans-Diethylstilboesterol|Diethylstilbestrolum|Distilbene|trans-Diethylstilbestrol|alpha,Alpha'-diethyl-(e)-4,4'-stilbenediol	stilbestrol 1.0mg tablet|stilb	DRUGBANK	DB00255	C18H20O2	small molecule	G03CB02|L02AA04|G03CC05|L02AA01	56-53-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RGLYKWWBQGJZGM-ISLYRVAYSA-N
4874	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Dixon A (2007)	17308373	174697	248	Diethylstilbestrol	trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol|4,4'-Dihydroxy-alpha,beta-diethylstilbene|,'-diethyl-(E)-4,4'-stilbenediol|trans-Diethylstilbesterol|Diethylstilbestrol|Stilboestrol|(E)-3,4-bis(4-hydroxyphenyl)-3-hexene|4,4'-dihydroxy-,-diethylstilbene|DES|(e)-4,4'-(1,2-Diethyl-1,2-ethenediyl)bisphenol|Dietilestilbestrol|trans-Diethylstilboesterol|Diethylstilbestrolum|Distilbene|trans-Diethylstilbestrol|alpha,Alpha'-diethyl-(e)-4,4'-stilbenediol	stilbestrol 1.0mg tablet|stilb	DRUGBANK	DB00255	C18H20O2	small molecule	G03CB02|L02AA04|G03CC05|L02AA01	56-53-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RGLYKWWBQGJZGM-ISLYRVAYSA-N
4875	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Bains M (2007)	17320868	174696	248	Diethylstilbestrol	trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol|4,4'-Dihydroxy-alpha,beta-diethylstilbene|,'-diethyl-(E)-4,4'-stilbenediol|trans-Diethylstilbesterol|Diethylstilbestrol|Stilboestrol|(E)-3,4-bis(4-hydroxyphenyl)-3-hexene|4,4'-dihydroxy-,-diethylstilbene|DES|(e)-4,4'-(1,2-Diethyl-1,2-ethenediyl)bisphenol|Dietilestilbestrol|trans-Diethylstilboesterol|Diethylstilbestrolum|Distilbene|trans-Diethylstilbestrol|alpha,Alpha'-diethyl-(e)-4,4'-stilbenediol	stilbestrol 1.0mg tablet|stilb	DRUGBANK	DB00255	C18H20O2	small molecule	G03CB02|L02AA04|G03CC05|L02AA01	56-53-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RGLYKWWBQGJZGM-ISLYRVAYSA-N
4876	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Munoz G (2007)	17306201	174695	248	Diethylstilbestrol	trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol|4,4'-Dihydroxy-alpha,beta-diethylstilbene|,'-diethyl-(E)-4,4'-stilbenediol|trans-Diethylstilbesterol|Diethylstilbestrol|Stilboestrol|(E)-3,4-bis(4-hydroxyphenyl)-3-hexene|4,4'-dihydroxy-,-diethylstilbene|DES|(e)-4,4'-(1,2-Diethyl-1,2-ethenediyl)bisphenol|Dietilestilbestrol|trans-Diethylstilboesterol|Diethylstilbestrolum|Distilbene|trans-Diethylstilbestrol|alpha,Alpha'-diethyl-(e)-4,4'-stilbenediol	stilbestrol 1.0mg tablet|stilb	DRUGBANK	DB00255	C18H20O2	small molecule	G03CB02|L02AA04|G03CC05|L02AA01	56-53-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RGLYKWWBQGJZGM-ISLYRVAYSA-N
4967	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Jordan VC (1983)	6872937	174767	262	Chlorotrianisene	Chlortrianizen|Chlortrianisestrol|Chloortrianisestrol|Chlorotrianizen|Chlortrianisoestrolum|Clorotrianiseno|Chlorotrianisenum|Chlorestrolo|Chlorotrianisine|Chlortrianisen	-	DRUGBANK	DB00269	C23H21ClO3	small molecule	G03CA06	569-57-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BFPSDSIWYFKGBC-UHFFFAOYSA-N
4968	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Wang JY (2006)	17236558	174766	262	Chlorotrianisene	Chlortrianizen|Chlortrianisestrol|Chloortrianisestrol|Chlorotrianizen|Chlortrianisoestrolum|Clorotrianiseno|Chlorotrianisenum|Chlorestrolo|Chlorotrianisine|Chlortrianisen	-	DRUGBANK	DB00269	C23H21ClO3	small molecule	G03CA06	569-57-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BFPSDSIWYFKGBC-UHFFFAOYSA-N
4969	108403	2099	RP1-130E4.1	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	9606	Homo sapiens	agonist	target	Chen X (2002)	11752352	171740	262	Chlorotrianisene	Chlortrianizen|Chlortrianisestrol|Chloortrianisestrol|Chlorotrianizen|Chlortrianisoestrolum|Clorotrianiseno|Chlorotrianisenum|Chlorestrolo|Chlorotrianisine|Chlortrianisen	-	DRUGBANK	DB00269	C23H21ClO3	small molecule	G03CA06	569-57-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BFPSDSIWYFKGBC-UHFFFAOYSA-N
