file	sample	sample_name	condition	replicate
PrimaryCD4_plus_T_D001_IgG_IP_1	PrimaryCD4_plus_T_D001_IgG_IP_1	PrimaryCD4_plus_T_D001_IgG_IP_1	PrimaryCD4_plus_T_IgG	1
PrimaryCD4_plus_T_D017_IgG_IP_2	PrimaryCD4_plus_T_D017_IgG_IP_2	PrimaryCD4_plus_T_D017_IgG_IP_2	PrimaryCD4_plus_T_IgG	2
PrimaryCD4_plus_T_D029_IgG_IP_3	PrimaryCD4_plus_T_D029_IgG_IP_3	PrimaryCD4_plus_T_D029_IgG_IP_3	PrimaryCD4_plus_T_IgG	3
PrimaryCD4_plus_T_D035_IgG_IP_4	PrimaryCD4_plus_T_D035_IgG_IP_4	PrimaryCD4_plus_T_D035_IgG_IP_4	PrimaryCD4_plus_T_IgG	4
PrimaryCD4_plus_T_D001_GR_IP_1	PrimaryCD4_plus_T_D001_GR_IP_1	PrimaryCD4_plus_T_D001_GR_IP_1	PrimaryCD4_plus_T_GR	1
PrimaryCD4_plus_T_D017_GR_IP_2	PrimaryCD4_plus_T_D017_GR_IP_2	PrimaryCD4_plus_T_D017_GR_IP_2	PrimaryCD4_plus_T_GR	2
PrimaryCD4_plus_T_D029_GR_IP_3	PrimaryCD4_plus_T_D029_GR_IP_3	PrimaryCD4_plus_T_D029_GR_IP_3	PrimaryCD4_plus_T_GR	3
PrimaryCD4_plus_T_D035_GR_IP_4	PrimaryCD4_plus_T_D035_GR_IP_4	PrimaryCD4_plus_T_D035_GR_IP_4	PrimaryCD4_plus_T_GR	4
MCF7_230323_IgG_IP_1	MCF7_230323_IgG_IP_1	MCF7_230323_IgG_IP_1	MCF7_IgG	1
MCF7_040423_IgG_IP_2	MCF7_040423_IgG_IP_2	MCF7_040423_IgG_IP_2	MCF7_IgG	2
MCF7_270323_IgG_IP_3	MCF7_270323_IgG_IP_3	MCF7_270323_IgG_IP_3	MCF7_IgG	3
MCF7_230323_GR_IP_1	MCF7_230323_GR_IP_1	MCF7_230323_GR_IP_1	MCF7_GR	1
MCF7_040423_GR_IP_2	MCF7_040423_GR_IP_2	MCF7_040423_GR_IP_2	MCF7_GR	2
MCF7_270323_GR_IP_3	MCF7_270323_GR_IP_3	MCF7_270323_GR_IP_3	MCF7_GR	3
231_230323_IgG_IP_1	231_230323_IgG_IP_1	231_230323_IgG_IP_1	231_IgG	1
231_040423_IgG_IP_2	231_040423_IgG_IP_2	231_040423_IgG_IP_2	231_IgG	2
231_270323_IgG_IP_3	231_270323_IgG_IP_3	231_270323_IgG_IP_3	231_IgG	3
231_230323_GR_IP_1	231_230323_GR_IP_1	231_230323_GR_IP_1	231_GR	1
231_040423_GR_IP_2	231_040423_GR_IP_2	231_040423_GR_IP_2	231_GR	2
