SRX,CellLine,Antigen,Treatment1,Treament2,Time,Antibody,Ref,Comments
SRX1012659,MCF-7,PGR,,,,,,
SRX1012658,MCF-7,PGR,,,,,,
SRX1012660,MCF-7,PGR,,,,,,
SRX1012654,MCF-7,PGR,,,,,,
SRX1012653,MCF-7,PGR,,,,,,
SRX1012655,MCF-7,PGR,,,,,,
SRX1012694,MCF-7,PGR,,,,,,
SRX1012764,MCF-7,PGR,,,,,,
SRX1012763,MCF-7,PGR,,,,,,
SRX1012761,MCF-7,PGR,,,,,,
SRX1012752,MCF-7,PGR,,,,,,
SRX1012695,MCF-7,PGR,,,,,,
SRX1012693,MCF-7,PGR,,,,,,
SRX1012691,MCF-7,PGR,,,,,,
SRX10365514,MCF-7,AR,,,,,,
SRX10365515,MCF-7,AR,,,,,,
SRX3229134,MCF-7,AR,,,,,,
SRX10365534,MCF-7,ER,,,,,,
SRX10365557,MCF-7,ER,,,,,,
SRX10365533,MCF-7,ER,,,,,,
SRX1012632,MCF-7,ER,,,,,,
SRX1585243,MCF-7,ER,,,,,,
SRX1161168,MCF-7,ER,,,,,,
SRX7846778,MCF-7,ER,,,,,,
SRX5465793,MCF-7,ER,,,,,,
SRX19024872,MCF-7,ER,,,,,,
SRX1012630,MCF-7,ER,,,,,,
SRX19024874,MCF-7,ER,,,,,,
SRX2943589,MCF-7,ER,,,,,,
SRX2943585,MCF-7,ER,,,,,,
SRX4451215,MCF-7,ER,,,,,,
SRX10365536,MCF-7,ER,,,,,,
SRX1012633,MCF-7,ER,,,,,,
SRX1012629,MCF-7,ER,,,,,,
SRX10365532,MCF-7,ER,,,,,,
SRX647367,MCF_10A,ER,,,,,,
SRX647365,MCF_10A,ER,,,,,,
SRX643281,MCF_10A,ER,,,,,,
SRX371468,MCF-7,ER,,,,,,
SRX3080214,MCF-7,ER,,,,,,
SRX1012631,MCF-7,ER,,,,,,
SRX3123829,MCF-7,ER,,,,,,
SRX2943591,MCF-7,ER,,,,,,
SRX194572,MCF-7,ER,,,,,,
SRX4451217,MCF-7,ER,,,,,,
SRX371469,MCF-7,ER,,,,,,
SRX19024875,MCF-7,ER,,,,,,
SRX1585242,MCF-7,ER,,,,,,
SRX5323878,MCF-7,ER,,,,,,
SRX1012628,MCF-7,ER,,,,,,
SRX3110722,MCF-7,ER,,,,,,
