Experiment	Cell_subclass	Protein	NR3C1|Average	SRX3229187|Breast_cancer	SRX8520802|HCC1187	SRX8520803|HCC1937	SRX8520804|HCC70	SRX1161165|MCF-7	SRX1161166|MCF-7	SRX1161167|MCF-7	SRX19024866|MCF-7	SRX19024868|MCF-7	SRX19024870|MCF-7	SRX19024878|MCF-7	SRX19024879|MCF-7	SRX19024880|MCF-7	SRX3229135|MCF-7	SRX8520805|MCF-7	SRX3070467|MCF_10A	SRX3070469|MCF_10A	SRX3070471|MCF_10A	SRX3070472|MCF_10A	SRX3070473|MCF_10A	SRX3070474|MCF_10A	SRX3070475|MCF_10A	SRX3070476|MCF_10A	SRX495666|MDA-MB-231	SRX495667|MDA-MB-231	SRX495668|MDA-MB-231	SRX495669|MDA-MB-231	SRX495670|MDA-MB-231	SRX495671|MDA-MB-231	SRX8520806|MDA-MB-231	SRX8520807|MDA-MB-361	SRX8520808|MDA-MB-453	SRX8520809|SUM_159PT	SRX1161196|T-47D	SRX1161197|T-47D	SRX5401859|T-47D	SRX5401860|T-47D	SRX5401861|T-47D	SRX1161179|ZR-75-1	SRX1161180|ZR-75-1	SRX1161181|ZR-75-1	SRX1161182|ZR-75-1	STRING
SRX8520805	MCF-7	NR3C1	4.390244	0	0	9	9	0	9	9	9	9	9	9	9	9	9	10	0	0	9	0	9	0	9	0	0	0	0	0	0	0	9	0	9	9	0	0	0	9	0	0	0	9	9	0
SRX8520803	HCC1937	NR3C1	4.390244	0	9	10	9	0	9	9	0	0	0	9	9	9	9	9	0	9	9	0	9	0	9	0	0	0	0	0	0	0	9	9	9	9	0	0	0	9	0	0	0	9	9	0
SRX8520808	MDA-MB-453	NR3C1	4.170732	0	0	9	9	0	9	9	9	9	9	9	9	9	9	9	0	0	9	0	9	0	9	0	0	0	0	0	0	0	0	9	10	0	0	0	0	9	0	0	0	9	9	0
SRX3229192	Breast_cancer	PGR	4.000000	0	0	9	0	0	9	9	0	9	9	9	9	9	9	9	0	0	9	0	9	0	9	0	0	0	0	0	0	0	9	6	9	0	0	0	0	9	0	0	0	9	9	0
SRX1012659	MCF-7	PGR	4.000000	0	0	9	0	0	9	9	9	9	9	9	9	9	9	9	0	0	9	0	9	0	9	0	0	0	0	0	0	0	0	6	9	0	0	0	0	9	0	0	0	9	9	0
SRX1012658	MCF-7	PGR	3.857143	0	0	9	0	0	9	9	9	9	9	9	9	9	9	9	0	0	9	0	9	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	0
SRX11374764	T-47D	PGR	3.785714	0	0	9	0	0	9	9	0	9	9	9	9	9	9	9	0	0	9	0	9	0	0	0	0	0	0	0	0	0	9	0	9	0	6	0	0	9	0	0	0	9	9	0
SRX5401860	T-47D	NR3C1	3.731707	0	9	9	0	0	9	9	0	0	0	9	9	9	9	9	0	0	9	0	9	0	9	0	0	0	0	0	0	0	9	0	9	9	0	0	0	10	0	0	0	9	9	0
SRX1012660	MCF-7	PGR	3.642857	0	0	9	0	0	9	9	9	9	9	9	9	9	9	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	9	0	0	0	9	9	0
SRX1161182	ZR-75-1	NR3C1	3.585366	0	0	9	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	9	0	6	9	9	10	0
SRX1161181	ZR-75-1	NR3C1	3.585366	0	0	9	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	9	0	6	9	10	9	0
SRX1012654	MCF-7	PGR	3.571429	0	0	9	0	0	9	9	9	9	9	9	9	9	9	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	9	0	0	0	9	9	0
SRX1012653	MCF-7	PGR	3.428571	0	0	9	0	0	9	9	9	9	9	9	9	9	9	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	0
SRX19024879	MCF-7	NR3C1	3.219512	0	0	9	0	0	9	9	9	9	9	9	10	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	9	0	0	0	9	9	0
SRX19024878	MCF-7	NR3C1	3.219512	0	0	9	0	0	9	9	9	9	9	10	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	9	0	0	0	9	9	0
SRX2871365	T-47D	PGR	3.214286	0	9	9	0	0	9	9	0	0	0	9	9	9	9	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	9	0	0	0	9	9	0
SRX2871364	T-47D	PGR	3.214286	0	9	9	0	0	9	9	0	0	0	9	9	9	9	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	9	0	0	0	9	9	0
SRX1012655	MCF-7	PGR	3.214286	0	0	9	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	0
SRX3070475	MCF_10A	NR3C1	3.170732	0	9	9	9	0	0	0	0	0	0	0	0	0	0	9	4	9	9	6	9	6	10	6	0	0	0	9	0	0	9	0	9	9	0	0	0	9	0	0	0	0	0	0
SRX5702619	T-47D	AR	3.142857	0	0	9	0	0	9	9	9	9	9	9	9	9	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	900
SRX5128131	ZR-75-1	AR	3.142857	0	0	9	0	0	9	9	0	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	9	0	0	0	9	9	900
SRX3070473	MCF_10A	NR3C1	3.097561	0	9	9	9	0	0	0	0	0	0	0	0	0	0	9	4	9	9	6	10	6	9	6	0	0	0	6	0	0	9	0	9	9	0	0	0	9	0	0	0	0	0	0
SRX3070471	MCF_10A	NR3C1	3.097561	0	9	9	9	0	0	0	0	0	0	0	0	0	0	9	4	9	10	6	9	6	9	6	0	0	0	6	0	0	9	0	9	9	0	0	0	9	0	0	0	0	0	0
SRX3229135	MCF-7	NR3C1	3.073171	0	0	9	0	0	9	9	9	9	9	9	9	9	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	0
SRX19024880	MCF-7	NR3C1	3.073171	0	0	9	0	0	9	9	9	9	9	9	9	10	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	0
SRX1161167	MCF-7	NR3C1	3.073171	0	0	9	0	0	9	10	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	0
SRX1161166	MCF-7	NR3C1	3.073171	0	0	9	0	0	10	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	0
SRX5128109	ZR-75-1	AR	3.000000	0	0	9	0	0	0	0	0	0	0	9	9	9	9	9	0	0	9	0	9	0	9	0	0	0	0	0	0	0	0	9	9	0	0	0	0	9	0	0	0	9	9	900
SRX11149855	MFM-223	AR	3.000000	0	0	9	0	0	9	9	0	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	900
SRX7262857	Breast_cancer_cells	AR	2.928571	0	0	9	0	0	9	9	0	0	0	9	9	9	9	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	9	0	0	0	9	9	900
SRX1070161	MDA-MB-453	AR	2.857143	0	9	6	0	0	9	9	0	0	0	9	9	9	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	9	0	0	0	9	9	900
SRX10365514	MCF-7	AR	2.785714	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	9	900
SRX1070162	MDA-MB-453	AR	2.714286	0	9	0	0	0	9	9	0	0	0	9	9	9	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	9	0	0	0	9	9	900
SRX3229189	Breast_cancer	PGR	2.642857	0	9	6	0	0	9	9	0	0	0	9	9	9	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	0
SRX19024870	MCF-7	NR3C1	2.634146	0	0	0	0	0	9	9	9	9	10	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	9	0
SRX19024868	MCF-7	NR3C1	2.634146	0	0	0	0	0	9	9	9	10	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	9	0
SRX19024866	MCF-7	NR3C1	2.634146	0	0	0	0	0	9	9	10	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	9	0
SRX1012648	MCF-7	EP300	2.571429	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	914
SRX1070163	MDA-MB-453	AR	2.571429	0	0	9	0	0	9	9	0	0	0	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	900
SRX1070160	MDA-MB-453	AR	2.571429	0	0	9	0	0	9	9	0	0	0	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	9	9	900
