tissue	cell_type_group	cl_ids_grouped	gene_ensembl	gene_soma_joinid	total_cells	pos_cells	pct_pos	mean_logCPTT_pos_dataset_avg	mean_logCPTT_allcells_dataset_avg
breast	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000198089	12323	661862	5365	0.810592	1.353755	0.149633
breast	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000198089	12323	0	0	0.000000	0.000000	0.000000
breast	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000198089	12323	44645	264	0.591332	1.685793	0.091600
blood	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000198089	12323	0	0	0.000000	0.000000	0.000000
blood	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000198089	12323	0	0	0.000000	0.000000	0.000000
blood	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000198089	12323	1350506	25351	1.877148	1.687192	0.206550
ureter	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000198089	12323	0	0	0.000000	0.000000	0.000000
ureter	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000198089	12323	24813	810	3.264418	0.641410	0.085508
ureter	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000198089	12323	0	0	0.000000	0.000000	0.000000
breast	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000147862	6014	661862	227338	34.348248	1.962905	1.050363
breast	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000147862	6014	0	0	0.000000	0.000000	0.000000
breast	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000147862	6014	44645	1122	2.513159	1.838440	0.210187
blood	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000147862	6014	0	0	0.000000	0.000000	0.000000
blood	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000147862	6014	0	0	0.000000	0.000000	0.000000
blood	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000147862	6014	1350506	7	0.000518	1.254711	0.000540
ureter	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000147862	6014	0	0	0.000000	0.000000	0.000000
ureter	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000147862	6014	24813	3501	14.109539	0.643026	0.190779
ureter	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000147862	6014	0	0	0.000000	0.000000	0.000000
breast	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000105669	11636	661862	296047	44.729415	1.532652	0.566802
breast	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000105669	11636	0	0	0.000000	0.000000	0.000000
