Protein.Group	Protein.Ids	Protein.Names	Genes	Peptides	Min*(PG.Q.Value)	PrimaryCD4_plus_T_D001_IgG_IP_1	PrimaryCD4_plus_T_D017_IgG_IP_2	PrimaryCD4_plus_T_D029_IgG_IP_3	PrimaryCD4_plus_T_D035_IgG_IP_4	PrimaryCD4_plus_T_D001_GR_IP_1	PrimaryCD4_plus_T_D017_GR_IP_2	PrimaryCD4_plus_T_D029_GR_IP_3	PrimaryCD4_plus_T_D035_GR_IP_4	MCF7_230323_IgG_IP_1	MCF7_040423_IgG_IP_2	MCF7_270323_IgG_IP_3	MCF7_230323_GR_IP_1	MCF7_040423_GR_IP_2	MCF7_270323_GR_IP_3	231_230323_IgG_IP_1	231_040423_IgG_IP_2	231_270323_IgG_IP_3	231_040423_GR_IP_2	231_230323_GR_IP_1	231_270323_GR_IP_3	Jurkat_230323_IgG_IP_1	Jurkat_040423_IgG_IP_2	Jurkat_120423_IgG_IP_3	Jurkat_230323_GR_IP_1	Jurkat_040423_GR_IP_2	Jurkat_120423_GR_IP_3	KMBC2_230323_IgG_IP_1	KMBC2_120423_IgG_IP_2	KMBC2_270323_IgG_IP_3	KMBC2_120423_GR_IP_2	KMBC2_230323_GR_IP_1	KMBC2_270323_GR_IP_3	PrimaryBreastEpis_3137_IgG_IP_1	PrimaryBreastEpis_2528_IgG_IP_2	PrimaryBreastEpis_3353_IgG_IP_3	PrimaryBreastEpis _3137_GR_IP_1	PrimaryBreastEpis_2528_GR_IP_2	PrimaryBreastEpis_3353_GR_IP_3	PrimaryNHU_Y3018_IgG_IP_1	PrimaryNHU_Y2680_IgG_IP_2	PrimaryNHU_Y2332_IgG_IP_3	PrimaryNHU_Y3018_GR_IP_1	PrimaryNHU_Y2680_GR_IP_2	PrimaryNHU_Y2332_GR_IP_3	BB7_IgG_IP	BB7_GR_IP	BB3RC31_IgG_IP	BB3RC31_GR_IP	HBC34_IgG_IP	HBC34_GR_IP	MCF10A_GR_1	MCF10A_GR_2	MCF10A_GR_3	MCF10A_IgG_1	MCF10A_IgG_2	MCF10A_IgG_3
A0A0B4J2F2;P57059	A0A0B4J2F2;P57059	SIK1B_HUMAN;SIK1_HUMAN	SIK1;SIK1B	2	0.00026455	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	290.2232666	200.033783	356.8092957	254.6159058	5233.54834	2557.404541	232.1157532	221.932663	414.9482422	3294.710449	3334.116943	2644.229004	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	5638.371094	4839.553711	6512.02832	295.8492126	389.4047852	400.1837463	4422.644043	4034.902832	707.8825073	168.1695709	350.9399109	384.8471985	262.2817993	2948.322266	3628.581543	230.8133087	562.2915649	240.8029175	377.5259094	229.5314178	229.5675659	3270.28418	4240.874023	6807.733398	229.3587646	220.8664246	325.0339966
A0A1B0GTU1;O75152	A0A1B0GTU1;O75152	ZC11A_HUMAN;ZC11B_HUMAN	ZC3H11A;ZC3H11B	3	0.000261643	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	7832.584961	299.2000427	5218.26123	3236.343506	3413.911865	3497.741699	3677.127686	7115.537109	5384.128906	4192.043457	221.932663	4596.833984	12978.02832	10225.80957	10543.5127	4208.162109	5223.20752	5813.834961	22075.9375	26063.72461	20053.37695	73.56000519	470.7331543	347.9763794	5521.269043	2404.766846	9769.337891	295.8492126	389.4047852	400.1837463	7863.469727	486.6138611	707.8825073	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	9919.567383	562.2915649	240.8029175	377.5259094	229.5314178	229.5675659	380.9328003	601.3488159	353.5231018	229.3587646	220.8664246	325.0339966
A0A1B0GUS4;P68036	A0A1B0GUS4;P68036	UB2L3_HUMAN;UB2L5_HUMAN	UBE2L3;UBE2L5	3	0.000198255	239.8595123	438.5571289	8427.091797	4906.746582	4567.091309	18190.87305	25429.9668	19280.70313	290.2232666	7412.375977	9687.540039	8383.673828	20496.83008	12949.53516	8291.786133	8951.375	9440.018555	29086.89648	22960.17188	37754.32422	7341.477539	11232.39063	10168.60449	43682.33984	73147.59375	24030.41406	73.56000519	9173.111328	11842.4668	45991.82422	46300.37109	43815.80859	14198.16016	31261.57813	19403.54883	51352.45313	71843.59375	71140.65625	168.1695709	8656.59668	21677.64258	12897.53809	21428.92578	46654.6875	19871.99805	73440.75781	45160.96094	99928.375	50893.52344	98183.49219	66672.41406	66716.57031	57967.26172	229.3587646	220.8664246	26160.87305
A0A5B9;P0DSE2;P0DTU4;P01850	A0A5B9;P0DSE2;P0DTU4;P01850	TRBC1_HUMAN;TRBC2_HUMAN;TRBR1_HUMAN;TRBR2_HUMAN	TRB;TRBC1;TRBC2	3	0.000294985	239.8595123	9957.40918	9165.228516	10607.77637	6116.42041	16830.74414	12975.79102	46751.75	290.2232666	200.033783	356.8092957	254.6159058	277.1142273	304.2036743	232.1157532	221.932663	414.9482422	421.1134338	290.9544678	369.9564819	287.7946777	428.5979614	327.1101685	388.1054688	8998.022461	348.4769897	73.56000519	470.7331543	347.9763794	434.5157166	373.2294922	339.4611206	295.8492126	389.4047852	400.1837463	444.7967834	486.6138611	707.8825073	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	230.8133087	562.2915649	240.8029175	377.5259094	229.5314178	229.5675659	380.9328003	601.3488159	353.5231018	229.3587646	220.8664246	325.0339966
A0AV02	A0AV02	S12A8_HUMAN	SLC12A8	4	0.000228363	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	290.2232666	200.033783	356.8092957	254.6159058	277.1142273	304.2036743	232.1157532	221.932663	414.9482422	421.1134338	290.9544678	369.9564819	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	434.5157166	373.2294922	339.4611206	295.8492126	389.4047852	400.1837463	444.7967834	486.6138611	707.8825073	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	13692.2041	41461.72266	240.8029175	11104.81445	229.5314178	8330.043945	380.9328003	601.3488159	353.5231018	229.3587646	220.8664246	325.0339966
A0AV96	A0AV96	RBM47_HUMAN	RBM47	14	0.000198255	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	290.2232666	7971.410645	356.8092957	7361.227539	11354.46875	6951.121582	232.1157532	221.932663	414.9482422	421.1134338	290.9544678	369.9564819	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	6972.031738	9413.759766	9252.301758	15730.55664	14544.6416	18619.95898	7676.720215	8230.326172	9608.564453	35194.90625	28395.85547	19922.35938	3329.560303	350.9399109	8350.078125	8422.444336	11755.00684	14636.93359	116691.7266	257964.7656	115401.875	256170.5313	71177.67188	213199.1719	9060.74707	8534.285156	6491.861328	229.3587646	220.8664246	325.0339966
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	8	0.000198255	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	290.2232666	200.033783	356.8092957	254.6159058	277.1142273	304.2036743	232.1157532	221.932663	414.9482422	421.1134338	290.9544678	369.9564819	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	434.5157166	7477.616699	339.4611206	295.8492126	389.4047852	400.1837463	444.7967834	486.6138611	707.8825073	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	17027.55273	26101.89453	20362.64453	46806.86328	14626.47363	50473.08203	7731.45752	7819.936035	9154.652344	229.3587646	220.8664246	325.0339966
A0AVK6	A0AVK6	E2F8_HUMAN	E2F8	2	0.000681663	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	290.2232666	200.033783	356.8092957	254.6159058	277.1142273	304.2036743	232.1157532	221.932663	414.9482422	9906.305664	7410.97998	7186.161133	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	9289.43457	9905.049805	15760.03613	295.8492126	389.4047852	400.1837463	444.7967834	486.6138611	707.8825073	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	230.8133087	562.2915649	240.8029175	377.5259094	229.5314178	229.5675659	380.9328003	601.3488159	353.5231018	229.3587646	220.8664246	325.0339966
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	24	0.000198255	239.8595123	438.5571289	338.4084473	297.6243591	4227.261719	5258.947754	5406.27002	5753.319824	5370.98877	5363.180664	6851.102539	6593.961426	8203.254883	5478.631836	6164.1875	4887.574707	414.9482422	10645.80566	11752.17969	8062.084473	5875.187012	428.5979614	327.1101685	9883.419922	9171.487305	7170.440918	73.56000519	470.7331543	347.9763794	6791.074707	12154.63086	10907.16406	8554.461914	11423.70605	9623.480469	23897.95117	34256.76172	21775.01953	10470.27734	18097.88281	23940.52734	39957.39063	49315.08984	50495.40625	10859.65039	15367.0752	39294.26563	38158.26172	13849.48926	33258.11719	6042.774902	8497.420898	9069.598633	5158.999512	5891.56543	9265.047852
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	30	0.000198255	239.8595123	4537.623047	338.4084473	297.6243591	132.5910492	3412.883789	4011.236816	3729.96167	12548.62012	18088.89844	21875.13867	19692.79688	26437.3457	19220.03906	11702.11426	13504.52051	8700.725586	22110.98438	25388.12891	18940.30078	7893.544922	9812.53125	7796.979004	17371.4707	12155.34668	11779.98438	12404.63672	7626.855469	8483.195313	17848.19336	46322.98047	26043.19531	41390.25781	51832.24219	49605.02344	74364.71094	87785.875	72148.22656	5487.48291	9125.887695	13446.5	12022.43555	19577.80273	19582.31641	155388.5156	458410.7188	79304.625	254672.7813	67791.91406	187846.3281	14691.86328	14111.32422	14440.61035	11907.14355	10479.18848	19243.57031
A0JLT2	A0JLT2	MED19_HUMAN	MED19	2	0.000205002	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	1826.313843	290.2232666	200.033783	1803.317749	3497.462158	4495.765137	4860.608398	232.1157532	221.932663	414.9482422	8358.426758	290.9544678	5643.564941	287.7946777	428.5979614	327.1101685	388.1054688	3273.521484	348.4769897	1470.032349	470.7331543	347.9763794	6564.578613	4270.877441	3397.623779	295.8492126	389.4047852	400.1837463	444.7967834	4073.365723	2953.930176	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	230.8133087	562.2915649	8453.193359	377.5259094	4905.861816	229.5675659	8928.561523	10791.77441	6688.476074	229.3587646	220.8664246	3339.656982
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	5	0.000198255	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	290.2232666	200.033783	356.8092957	254.6159058	277.1142273	304.2036743	232.1157532	221.932663	414.9482422	421.1134338	3926.602783	369.9564819	287.7946777	428.5979614	327.1101685	388.1054688	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	434.5157166	2150.926758	4306.867188	295.8492126	1344.171631	400.1837463	4720.650391	2409.191406	2222.670898	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	479.5760193	6710.241211	15037.45313	9496.099609	11694.45703	4614.865234	18435.60938	380.9328003	3819.344971	353.5231018	229.3587646	220.8664246	325.0339966
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	8	0.000198255	239.8595123	438.5571289	338.4084473	297.6243591	132.5910492	266.2980652	299.2000427	204.8419952	290.2232666	4178.202148	4141.611328	5164.09082	6806.010254	4882.908691	232.1157532	221.932663	414.9482422	4453.79834	4488.68457	369.9564819	287.7946777	428.5979614	327.1101685	3909.6604	236.7562408	348.4769897	73.56000519	470.7331543	347.9763794	4504.432129	6293.63916	4119.089355	3488.270508	4783.301758	1945.196533	12080.38086	5557.905273	8593.944336	168.1695709	350.9399109	384.8471985	262.2817993	380.0012207	4265.581055	17367.49609	19865.19531	7513.079102	18164.2207	12923.38672	28488.48633	380.9328003	3444.685059	5351.91748	229.3587646	220.8664246	325.0339966
