"","Breast Epithelial","CD4+","Urothelial","Jurkat","KMBC2","MDA-MB-231","MCF7"
"SFI1",-0.13690596581975,0.967379456439752,-0.393239111264013,0.556308480495191,-0.0351030886349657,-0.297269172638209,0.0130347553182954
"NFIB",3.71221439707743,-0.649828902778192,0.106517712577976,-1.35563003269538,0.57530786464315,-0.0209336709406038,0.507011122689393
"COPE",1.6457966117223,3.62953630899403,2.54195337820291,1.6504588914883,1.39902461700848,1.45425186556973,1.91061552331243
"FOXO3",1.45171031655942,0.126024472138496,0.173716255780599,0.239524604545884,0.636852850323049,0.14205935885088,0.139705385005476
"ZEB2",-0.564619718000777,-0.0687925748529687,-0.636297974805596,-1.19681462050187,-1.38855175020661,-0.513400160119728,-1.59992591968534
"ACSL3",1.35970543006383,0.2619497317854,1.68297986990222,0.874942166442602,1.25872333666301,0.911931588163237,0.858380484594217
"ACSL4",-0.464072436330789,-0.0070511848949612,-0.0405310246669025,0.861959203294301,0.553227111445951,1.26347424407847,-1.36971968095186
"BCAR3",0.0622869637770508,-0.594296977468219,-0.465930322392135,-0.946672556605253,0.474698804945979,1.31524237433808,0.246891170058589
"ESR1",1.11897996484925,-0.493603168314835,-0.764020306584005,-1.31226465865,-0.655129662632833,-1.76268162112157,1.33042943188558
"GNAI2",0.585949889970412,3.92612263499575,2.20236692872428,2.19644956795848,1.18069897190266,2.12254228449545,1.77857224147028
"NR3C2",0.117464255668881,0.170597595111359,-0.658510760651239,-0.913745269948,-1.31902206213062,-0.609155808488378,-1.52717712177565
"NR2F6",-0.0599432158993763,-0.459211683329961,1.78333855611229,0.262958666124294,1.11532836247949,0.575235645296545,1.10691974385443
"NR2F1",-0.670722334201385,-0.652552903072589,-0.775618048798347,-1.26202026382698,-0.0221447857687867,0.481778847604032,-1.41543353017156
"SKI",-0.232427806406653,0.256234826268626,-0.258552437353619,0.616832602319689,0.792511352391426,1.02262351482404,0.462275951642967
"RARG",-0.425885921434151,-0.30357470973715,-0.109281946790561,-0.0990910424004855,1.43182065221422,0.214945373989056,1.33984279617075
"TFEB",-0.552325335351087,-0.458018461298986,-0.624329940371557,-0.291341307726115,-0.420377634359719,-0.986915701189302,-0.916758829237471
"RXRA",-0.478794072836935,-0.467909643924173,1.99361231620228,-0.268188884103566,1.5367589851623,0.487104765352247,1.19362312988142
"RXRG",-0.774342143200232,-0.65395022887202,-0.799174330774427,-1.39488498836789,-1.55919308223791,-1.7945317046254,-1.59992591968534
"HOXB8",-0.773615676376997,-0.653581272059811,0.249232131917945,-1.34302942879535,-1.34869006870163,-1.57610069926134,-1.59992591968534
"HOXC8",-0.744813403502853,-0.653220165392542,-0.798922721958479,-1.29153505285202,-1.36051198659881,-1.5091087678379,-0.867329294832138
"HIVEP2",0.145834921783338,1.60488187692288,0.117512543101273,0.236862983019254,-0.60757219626253,-0.424845360327912,-0.588805730505246
"PPARG",-0.558085789925915,-0.631961972893332,2.8215429934184,-1.00946125287457,1.34315986600109,0.958900554950841,-0.420037055483091
"ZEB1",-0.599049972087864,1.32175854949434,-0.755038346588288,1.13178266058556,-1.53336415069479,0.870656148775239,-1.52828611813341
"PBX1",1.95535267177127,-0.624339482155986,0.970034421574172,-1.17154460505474,1.30930713991845,0.154478676013068,1.35049886254199
"PBX3",-0.0953563368649586,-0.129168039591308,-0.281425102924106,0.646584861766825,0.741318229933582,0.299707350474423,0.664592010541358
"ETV5",-0.58349930873638,-0.648651381037099,-0.734995093363175,0.424301658218243,-1.5028478288685,1.16678935803389,-1.1487863610941
"ARHGAP25",-0.704866274893433,1.49986263790722,-0.753903733248449,0.390901164829165,-1.53796946989183,-1.31528972191608,-1.59992591968534
"CSNK1E",0.963729731389664,-0.0524485730865896,1.36202196747602,1.14105284874378,0.643538518339716,0.794265184618112,0.742361847084484
"NEK2",-0.764658767779934,-0.626686675493233,-0.776857103533485,1.21963651524232,0.953713448710925,1.00905197877526,0.534333003548854
"AGFG1",0.510922960467247,0.310345875344347,0.204284353250164,1.04235180468935,0.702662453990697,0.635915685243728,0.805199842392429
"CRIP2",0.281034670921638,0.566134998089639,1.19422737125583,-0.365425479630942,0.0811392737633261,0.0175848265537074,2.04670533532972
"PKNOX1",-0.283417230729246,-0.16618932313129,-0.298263904247999,0.392629898128482,-0.0246064605176382,-0.20859664485632,-0.0291857574219958
"PKNOX2",-0.660064638571101,-0.652843358435392,-0.796795915363299,-1.38758636343415,-1.51052945769548,-1.70254461318689,-1.59992591968534
"GSDMD",-0.0327605367076219,1.42111783400782,0.450519184676068,0.92290649539351,0.920502426895445,0.981093405450993,-1.42901267557961
"IRX4",-0.713280470040197,-0.653589122204751,-0.798742323184781,-1.38792198782251,-1.55919308223791,-1.81472065747832,-0.0995384238864531
"SATB1",-0.523741002523914,3.07392660053149,0.301334146163709,1.53689844749119,-1.08800466252862,-0.241454422768068,-1.54804216680114
"SATB2",-0.726215852828036,-0.649334343646933,-0.756457800097125,0.137857924085046,-1.08682182900545,-0.18275537458778,-0.646731484362606
"MECOM",-0.652987997045941,-0.606817958648514,1.67993208009395,-0.858701805833873,1.03292996978012,0.692421230752607,-0.126254048272972
"PRDM16",-0.736027428275963,-0.650574666547552,-0.677091834342165,-1.29085638578621,-1.54837100106894,-1.79778392744748,-0.891949372245457
"CDC20",-0.7267243796043,-0.4259820197963,-0.734696011185728,1.92036969467081,1.79779128969629,1.93793963940823,1.50996055438528
"FOXC1",-0.399224589021424,-0.653141663943136,0.546439111585923,-1.17550440962529,0.514143052829357,-0.265866505981062,-0.494654801294311
"CHAF1A",-0.625040391022663,-0.365567304333258,-0.522072319701511,1.37224014830313,0.829121797789932,0.843123670203579,0.693115409722434
"SKP2",-0.698131500108619,-0.262950209669421,-0.534999316037841,1.20469847592195,0.567470801136524,0.261861492685351,0.188680685290121
"MAMLD1",-0.654936637465913,-0.619362490263631,-0.79555211329201,-1.18576505895575,-1.52673928796129,0.354613399533291,-0.925030237014402
"KLF5",0.397081335932058,-0.500864552384912,4.65649285677159,-0.568295105575933,1.81534875754092,0.448490752844306,0.0215590684628923
"E2F2",-0.767662921760723,-0.581752445853101,-0.790315801518609,0.660654368825407,-0.358118979600423,-0.758584733599308,-0.188529791822287
"E2F3",-0.317035551308012,-0.177367929526739,-0.190375942904105,0.722637066344531,0.0958626175671315,0.447482748053169,0.031910999270442
"TEAD1",0.542955874037659,-0.647261905382608,0.443929882099929,-0.31808670518532,0.249890470213389,1.12463529264062,0.308413033169771
"TEAD2",-0.40373722999399,-0.649279392632349,-0.793168950544733,-1.37094566495382,-0.706498375578193,0.0136706619749447,0.809899716048144
"TEAD3",-0.294331326414789,-0.64501676392959,-0.0728271524950513,-0.711665715910037,0.851295334358367,0.658288888058613,0.413705370401695
"TEAD4",-0.479845313063499,-0.64274807204175,-0.730280988566269,-0.72295822573437,0.853870156093696,0.994423424960382,0.929234431189918
"IQCC",-0.730425087068545,-0.610727330828944,-0.739471831352584,-0.0970630951095705,-0.562834640844352,-0.939430068762321,-0.570662709462561
"CDCA2",-0.736548775054991,-0.566217009015607,-0.763108818043213,0.908774893208945,0.418240603169107,0.53306561196901,0.38141064105342
"GRHL2",0.57755706149492,-0.651846390027933,-0.32708972935053,-1.38533867817633,1.06213022895502,-1.79124019417125,1.67091908801532
"TAOK1",0.513726267738084,0.695756591349222,0.759893586896382,0.943951955840841,0.713817944611272,0.861129062445597,0.589477123710008
"TTC21B",-0.311514403451425,-0.065738868471066,-0.573837273080628,0.180946700508819,-0.498750392810539,-0.579083511969672,-0.540563050932321
"MAML2",2.3737291886066,2.8196447056148,0.165968603183872,-1.27947272083661,-0.167100443378418,-0.373408792584915,-1.566623665279
"ZBTB44",0.164932452565911,0.571614399258194,1.03071012490676,1.03178930701393,0.517439967652791,0.359835590740276,-0.13605367086706
"KNL1",-0.724207385728503,-0.516918098788488,-0.730266746557819,1.4200631223485,0.74529017934949,0.803366564722127,0.576992175267292
"MITD1",-0.237175480763206,1.09650649056808,-0.00933153148939352,1.02709160739853,0.768876002109773,0.725895679696026,0.385456791400941
"ZNF516",-0.326522353352611,-0.466323914646167,-0.503795075524182,-0.470536191495614,-1.50725063941749,-0.471155694216811,-0.264253645705302
"TFAP2C",-0.042247338752221,-0.654028730321426,-0.284078863831931,0.271291574240867,0.314939583672303,0.75677568974565,1.5271965120979
"TFAP2A",1.06985371426154,-0.652780557275867,0.153074838200592,-0.365753922184914,0.788475555909822,-0.135636273062143,0.932755798436986
"TBC1D31",-0.680580916326111,-0.328655922822444,-0.733300294357641,0.781161985740645,0.0205693553929268,0.230854419332233,0.0128010973362781
"LCOR",0.52667874386294,0.626008053551778,1.43217810110006,0.611274866627667,-0.0781418516958972,0.387116246558574,0.0849823891076594
"CCDC77",-0.627630031580783,-0.377648677396878,-0.685385430596138,0.872550210425584,0.228573497543358,0.268687123811132,-0.0884959829958377
"TRIM9",-0.729566146883426,-0.645597674655196,-0.733960174082485,-0.436222920336218,-0.841005336743587,-1.47593198485679,-1.5584004756045
"WWTR1",1.14347471679504,-0.603316794004995,-0.12867481496313,-1.32279919255305,0.699867596059954,1.01451981751666,-0.026015024846024
"BCL11A",-0.315321944272028,-0.595034891092637,-0.168125178369262,0.545639272073445,-1.55080552420383,-0.979089613993237,-1.59992591968534
"UPF2",0.775113304072315,1.72216304233581,0.566169040625139,0.630392289875529,0.320800351864336,0.216038630275265,0.624747688591109
"CPAP",-0.636129693412633,-0.463874669424692,-0.633601487872421,0.574966886353288,0.0533604118454693,-0.119072272722987,0.0416810600715698
"DCAF16",-0.298459367304466,0.258283714098129,-0.191771659732192,0.692426505591409,0.363403019464579,0.510691831411856,-0.215861590650984
"GTSE1",-0.735424888146104,-0.555894068418686,-0.767424146603523,1.32580606853881,0.765030355313335,1.00162915896217,0.538007210934419
"GRHL1",0.277222856766781,-0.64073843493695,0.618100150769505,-0.461829076261524,0.363574367569258,-1.69632104007231,0.600318164070725
"POLK",0.0205151214410344,0.30144381098168,-0.180316337602349,0.538588291026104,-0.179837524045299,-0.11447410484791,-0.41739490938552
"TRPS1",5.27376338028972,0.0419258693895918,-0.733286052349191,-1.33328185693168,-1.55919308223791,-0.526387598579708,1.04643668507012
"IKZF3",-0.677367368966859,1.67748786747871,-0.532796552064261,-0.180258592221398,-1.09613071202855,-1.77573111154414,-1.57253000886308
"ZMIZ1",-0.00495395071473608,-0.265744861268284,0.189353981058553,0.584592954912858,-0.0416450524812414,0.746887771916723,0.53541281362168
"SOX13",-0.521591515393989,-0.624904692591711,-0.384456539386595,-1.14446445501513,0.546101906648976,0.541861361988905,0.564932010698276
"RNF114",0.866468643761252,1.43316780649167,0.413371279302664,1.30945099021431,1.01338634646489,1.19338953574569,1.80724863112529
"AR",0.549870128861155,-0.64564477552484,-0.234630610493992,-1.39488498836789,-1.55544427736831,-0.0242405253351272,0.241242999493121
"PGR",0.0336000709277743,-0.652859058725273,-0.798115674812987,-1.39488498836789,-1.55919308223791,-1.77219967093184,0.211834474731614
"HOXA5",-0.606964187126872,-0.651657986549358,-0.439805731558928,0.254502566206229,0.294653274847412,-1.81472065747832,-0.246146798003662
"FOXP3",-0.758727379834932,-0.272268331713942,-0.79343480136913,-1.05219541964959,-1.3821404755838,-1.73593368324032,-1.24631418769585
"SMARCD3",-0.437017957166664,-0.491962488022244,-0.622473731936925,0.649859723284208,-0.977715123922132,-0.701732262662562,-0.101191540807588
