SRX,Antigen,Treatment1,Treament2,Time,Antibody,Ref,Comments,Heatmap
SRX1012659,PGR,R5020,None,3 hours,sc-7208,https://www.ncbi.nlm.nih.gov/pubmed/26153859,,TRUE
SRX1012658,PGR,R5020,None,3 hours,sc-7208,https://www.ncbi.nlm.nih.gov/pubmed/26153859,,TRUE
SRX1012660,PGR,R5020,None,3 hours,sc-7208,https://www.ncbi.nlm.nih.gov/pubmed/26153859,,TRUE
SRX1012654,PGR,Progesterone,None,3 hours,sc-7208,https://www.ncbi.nlm.nih.gov/pubmed/26153859,,TRUE
SRX1012653,PGR,Progesterone,None,3 hours,sc-7208,https://www.ncbi.nlm.nih.gov/pubmed/26153859,,TRUE
SRX1012655,PGR,Progesterone,None,3 hours,sc-7208,https://www.ncbi.nlm.nih.gov/pubmed/26153859,,TRUE
SRX10365514,AR,DHT,None,X,Millipore 06-680,https://www.ncbi.nlm.nih.gov/pubmed/34373577,,TRUE
SRX10365515,AR,DHT,None,X,Millipore 06-680,https://www.ncbi.nlm.nih.gov/pubmed/34373577,,TRUE
SRX10365534,ER,Vehicle,50 uM EHT 1864,1 hour,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/34373577,,FALSE
SRX10365557,ER,Vehicle,Vehicle,1 hour,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/34373577,,FALSE
SRX10365533,ER,Vehicle,50 uM EHT 1864,1 hour,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/34373577,,FALSE
SRX1012632,ER,R5020,None,3 hours,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/34373577,,TRUE
SRX1585243,ER,Tamoxifen resitance,None,NA,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/26610607,"Interesting overlap, but makes figure too complex",FALSE
SRX1161168,ER,untreated,None,30 minutes,cocktail,https://www.ncbi.nlm.nih.gov/pubmed/27062924,,FALSE
SRX7846778,ER,Estradiol,Vehicle,45 mintues,Unknown,,No publication details,FALSE
SRX5465793,ER,Full media,None,None,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/31729597,,FALSE
SRX19024872,ER,Dexamethasone,None,2 hours,"06-935, Merck",https://www.ncbi.nlm.nih.gov/pubmed/37902007,,TRUE
SRX1012630,ER,Progesterone,None,3 hours,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/26153859,JCF1544 - https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68355,TRUE
SRX19024874,ER,Dexamethasone,None,2 hours,"06-935, Merck",https://www.ncbi.nlm.nih.gov/pubmed/37902007,,TRUE
SRX2943589,ER,Estradiol/Fullmedia?,shKMT2C,,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/29755131,,FALSE
SRX2943585,ER,Estradiol/Fullmedia?,shKMT2C,,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/29755131,,FALSE
SRX4451215,ER,Estradiol,Vehicle,30 minutes,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/30455249,,TRUE
SRX10365536,ER,50 uM EHT 1864,,1 hour,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/34373577,,FALSE
SRX1012633,ER,R5020,None,3 hours,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/26153859,,TRUE
SRX1012629,ER,Progesterone,None,3 hours,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/26153859,JC1534 - https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68355,TRUE
SRX10365532,ER,Estradiol,None,,sc-543,https://www.ncbi.nlm.nih.gov/pubmed/26153859,,TRUE
