#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AASS	NR3C1	9606.ENSP00000403768	9606.ENSP00000231509	0	0	0	0	0	0.188	0	0	0.188
AASS	TRAP1	9606.ENSP00000403768	9606.ENSP00000246957	0	0	0	0	0	0.166	0	0	0.165
AASS	LRPPRC	9606.ENSP00000403768	9606.ENSP00000260665	0	0	0	0	0	0.162	0	0	0.161
AASS	PLEKHA4	9606.ENSP00000403768	9606.ENSP00000263265	0	0	0	0	0	0.292	0	0	0.292
AASS	P4HA1	9606.ENSP00000403768	9606.ENSP00000263556	0	0	0	0	0	0.161	0	0	0.161
AASS	HSP90AA1	9606.ENSP00000403768	9606.ENSP00000335153	0	0	0	0	0	0.162	0	0	0.161
AASS	HSPD1	9606.ENSP00000403768	9606.ENSP00000340019	0	0	0	0	0	0.191	0	0	0.191
AASS	HSP90AB1	9606.ENSP00000403768	9606.ENSP00000360609	0	0	0	0	0	0.162	0	0	0.161
AASS	HADHA	9606.ENSP00000403768	9606.ENSP00000370023	0	0	0	0	0	0.162	0	0	0.161
ABCA4	NR3C1	9606.ENSP00000359245	9606.ENSP00000231509	0	0	0	0	0	0.172	0	0	0.172
ABCA4	ATP5F1B	9606.ENSP00000359245	9606.ENSP00000262030	0	0	0	0	0	0.179	0	0	0.179
ABCA4	KDM5A	9606.ENSP00000359245	9606.ENSP00000382688	0	0	0	0	0	0.179	0	0	0.179
ABCA4	UTY	9606.ENSP00000359245	9606.ENSP00000442047	0	0	0	0	0	0.179	0	0	0.179
ABCA4	KDM6A	9606.ENSP00000359245	9606.ENSP00000367203	0	0	0	0	0	0.179	0	0	0.179
ABCA4	ATP5F1A	9606.ENSP00000359245	9606.ENSP00000381736	0	0	0	0	0	0.311	0	0	0.311
ABCC1	PDHX	9606.ENSP00000382342	9606.ENSP00000227868	0	0	0	0	0	0.224	0	0	0.224
ABCC1	NR3C1	9606.ENSP00000382342	9606.ENSP00000231509	0	0	0	0	0	0.230	0	0	0.229
ABCC1	H4C6	9606.ENSP00000382342	9606.ENSP00000244537	0	0	0	0	0	0.300	0	0	0.300
ABCC1	CANX	9606.ENSP00000382342	9606.ENSP00000247461	0	0	0	0	0	0.182	0	0	0.181
