Protein ID,Gene,Description,Combined Total Peptides,Protein Probability,Top Peptide Probability,GR_vs_IgG_log2 fold change,GR_vs_IgG_p.val,GR_vs_IgG_p.adj,significant,GR_1 Intensity,GR_2 Intensity,GR_3 Intensity,IgG_1 Intensity,IgG_2 Intensity,IgG_3 Intensity
P43034,PAFAH1B1,Platelet-activating factor acetylhydrolase IB subunit beta,15,1.00E+00,9.99E-01,9.85,2.23E-07,3.91E-05,TRUE,1.80E+07,1.34E+07,1.62E+07,0.00E+00,0.00E+00,0.00E+00
P04150,NR3C1,Glucocorticoid receptor,25,1.00E+00,9.99E-01,11.6,2.34E-06,1.02E-04,TRUE,1.41E+08,1.14E+08,1.44E+08,8.40E+04,0.00E+00,5.65E+04
P52272,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,9,1.00E+00,9.99E-01,6.47,2.61E-06,1.02E-04,TRUE,1.56E+06,1.32E+06,1.65E+06,0.00E+00,1.70E+04,0.00E+00
P61313,RPL15,60S ribosomal protein L15,4,1.00E+00,9.98E-01,6.3,2.89E-06,1.02E-04,TRUE,1.30E+06,1.48E+06,1.25E+06,0.00E+00,0.00E+00,0.00E+00
P14618,PKM,Pyruvate kinase PKM,11,1.00E+00,9.99E-01,7.77,3.50E-06,1.02E-04,TRUE,3.32E+06,6.14E+06,2.50E+06,0.00E+00,0.00E+00,0.00E+00
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,8,1.00E+00,9.98E-01,7.71,3.76E-06,1.02E-04,TRUE,2.89E+06,6.07E+06,2.58E+06,0.00E+00,0.00E+00,0.00E+00
P16403,H1-2,Histone H1.2,6,1.00E+00,9.96E-01,6.04,4.57E-06,1.02E-04,TRUE,1.37E+06,9.94E+05,1.03E+06,0.00E+00,0.00E+00,0.00E+00
P60842,EIF4A1,Eukaryotic initiation factor 4A-I,7,1.00E+00,9.99E-01,6.27,4.77E-06,1.02E-04,TRUE,1.16E+06,1.75E+06,1.11E+06,0.00E+00,0.00E+00,0.00E+00
P17844,DDX5,Probable ATP-dependent RNA helicase DDX5,6,1.00E+00,9.98E-01,5.89,5.56E-06,1.02E-04,TRUE,8.34E+05,1.22E+06,9.99E+05,0.00E+00,0.00E+00,0.00E+00
P01893,HLA-H,"Putative HLA class I histocompatibility antigen, alpha chain H",2,1.00E+00,9.99E-01,6.22,5.85E-06,1.02E-04,TRUE,1.68E+06,9.40E+05,1.30E+06,0.00E+00,0.00E+00,0.00E+00
P62424,RPL7A,60S ribosomal protein L7a,4,1.00E+00,9.99E-01,5.69,7.68E-06,1.15E-04,TRUE,8.09E+05,1.13E+06,7.35E+05,0.00E+00,0.00E+00,0.00E+00
P07900,HSP90AA1,Heat shock protein HSP 90-alpha,16,1.00E+00,9.99E-01,7,8.34E-06,1.15E-04,TRUE,1.42E+06,3.79E+06,1.90E+06,0.00E+00,0.00E+00,0.00E+00
P06899,H2BC11,Histone H2B type 1-J,4,1.00E+00,9.97E-01,6.7,8.88E-06,1.15E-04,TRUE,1.03E+06,2.18E+06,2.44E+06,0.00E+00,0.00E+00,0.00E+00
P31943,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,6,1.00E+00,9.99E-01,6.23,9.67E-06,1.15E-04,TRUE,1.13E+06,2.00E+06,9.24E+05,0.00E+00,0.00E+00,0.00E+00
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,7,1.00E+00,9.99E-01,6.45,9.84E-06,1.15E-04,TRUE,1.36E+06,2.40E+06,9.98E+05,0.00E+00,0.00E+00,0.00E+00
P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta,7,1.00E+00,9.99E-01,5.56,1.29E-05,1.28E-04,TRUE,1.03E+06,8.92E+05,5.60E+05,0.00E+00,0.00E+00,0.00E+00
P20700,LMNB1,Lamin-B1,7,1.00E+00,9.99E-01,5.64,1.32E-05,1.28E-04,TRUE,8.54E+05,1.19E+06,6.01E+05,0.00E+00,0.00E+00,0.00E+00
P61353,RPL27,60S ribosomal protein L27,4,1.00E+00,9.97E-01,5.82,1.32E-05,1.28E-04,TRUE,7.18E+05,1.48E+06,8.34E+05,0.00E+00,0.00E+00,0.00E+00
P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",3,1.00E+00,9.98E-01,5.15,1.39E-05,1.28E-04,TRUE,6.24E+05,7.45E+05,4.74E+05,0.00E+00,0.00E+00,0.00E+00
P04234,CD3D,T-cell surface glycoprotein CD3 delta chain,5,1.00E+00,9.99E-01,6.96,1.77E-05,1.50E-04,TRUE,4.11E+06,2.05E+06,1.13E+06,0.00E+00,0.00E+00,0.00E+00
P13639,EEF2,Elongation factor 2,10,1.00E+00,9.99E-01,6.64,1.80E-05,1.50E-04,TRUE,9.86E+05,3.20E+06,1.54E+06,0.00E+00,0.00E+00,0.00E+00
Q16629,SRSF7,Serine/arginine-rich splicing factor 7,2,1.00E+00,9.99E-01,4.65,1.95E-05,1.55E-04,TRUE,4.18E+05,4.94E+05,3.74E+05,0.00E+00,0.00E+00,0.00E+00
P26599,PTBP1,Polypyrimidine tract-binding protein 1,6,1.00E+00,9.99E-01,5.82,2.22E-05,1.69E-04,TRUE,1.29E+06,1.25E+06,5.48E+05,0.00E+00,0.00E+00,0.00E+00
P60660,MYL6,Myosin light polypeptide 6,3,1.00E+00,9.98E-01,5.43,2.51E-05,1.83E-04,TRUE,6.08E+05,1.20E+06,5.40E+05,0.00E+00,0.00E+00,0.00E+00
P62753,RPS6,40S ribosomal protein S6,2,1.00E+00,9.97E-01,5.32,2.75E-05,1.92E-04,TRUE,4.27E+05,9.80E+05,7.47E+05,0.00E+00,0.00E+00,0.00E+00
Q01826,SATB1,DNA-binding protein SATB1,4,1.00E+00,9.99E-01,4.66,2.93E-05,1.97E-04,TRUE,5.36E+05,4.69E+05,3.19E+05,0.00E+00,0.00E+00,0.00E+00
P62826,RAN,GTP-binding nuclear protein Ran,4,1.00E+00,9.98E-01,5.99,3.04E-05,1.97E-04,TRUE,9.91E+05,2.00E+06,6.35E+05,0.00E+00,0.00E+00,0.00E+00
Q13263,TRIM28,Transcription intermediary factor 1-beta,5,1.00E+00,9.99E-01,4.9,3.32E-05,2.07E-04,TRUE,3.37E+05,5.75E+05,6.75E+05,0.00E+00,0.00E+00,0.00E+00
P0CG47,UBB,Polyubiquitin-B,3,1.00E+00,9.95E-01,6.92,3.79E-05,2.20E-04,TRUE,9.86E+05,4.74E+06,1.88E+06,0.00E+00,0.00E+00,0.00E+00
P62857,RPS28,40S ribosomal protein S28,2,1.00E+00,9.99E-01,4.48,3.95E-05,2.20E-04,TRUE,2.98E+05,5.20E+05,3.53E+05,0.00E+00,0.00E+00,0.00E+00
P35579,MYH9,Myosin-9,26,1.00E+00,9.99E-01,6.71,3.96E-05,2.20E-04,TRUE,1.44E+06,4.25E+06,2.29E+06,0.00E+00,4.28E+04,0.00E+00
P23396,RPS3,40S ribosomal protein S3,5,1.00E+00,9.99E-01,5.67,4.02E-05,2.20E-04,TRUE,6.00E+05,1.67E+06,6.46E+05,0.00E+00,0.00E+00,0.00E+00
P07737,PFN1,Profilin-1,5,1.00E+00,9.98E-01,6.88,4.91E-05,2.60E-04,TRUE,3.12E+06,4.06E+06,2.52E+06,0.00E+00,6.79E+04,0.00E+00
P40429,RPL13A,60S ribosomal protein L13a,3,1.00E+00,9.97E-01,4.82,5.22E-05,2.65E-04,TRUE,3.76E+05,7.95E+05,3.70E+05,0.00E+00,0.00E+00,0.00E+00
P07910,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,5,1.00E+00,9.99E-01,5.98,5.43E-05,2.65E-04,TRUE,9.20E+05,2.27E+06,5.87E+05,0.00E+00,0.00E+00,0.00E+00
Q00839,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,8,1.00E+00,9.98E-01,6.16,5.46E-05,2.65E-04,TRUE,5.60E+05,2.36E+06,1.37E+06,0.00E+00,0.00E+00,0.00E+00
P08238,HSP90AB1,Heat shock protein HSP 90-beta,17,1.00E+00,9.99E-01,7.94,6.05E-05,2.80E-04,TRUE,4.41E+06,1.22E+07,6.91E+06,0.00E+00,8.61E+04,0.00E+00
P08865,RPSA,40S ribosomal protein SA,3,1.00E+00,9.97E-01,5.18,6.09E-05,2.80E-04,TRUE,5.38E+05,1.13E+06,3.85E+05,0.00E+00,0.00E+00,0.00E+00
P46013,MKI67,Proliferation marker protein Ki-67,7,1.00E+00,9.96E-01,4.63,6.57E-05,2.95E-04,TRUE,5.86E+05,2.57E+05,4.99E+05,0.00E+00,0.00E+00,0.00E+00
P22087,FBL,rRNA 2'-O-methyltransferase fibrillarin,2,1.00E+00,9.97E-01,4.28,6.82E-05,2.99E-04,TRUE,2.22E+05,3.74E+05,4.30E+05,0.00E+00,0.00E+00,0.00E+00
P18124,RPL7,60S ribosomal protein L7,3,1.00E+00,9.96E-01,5.02,7.20E-05,3.00E-04,TRUE,3.25E+05,9.68E+05,5.34E+05,0.00E+00,0.00E+00,0.00E+00
P62266,RPS23,40S ribosomal protein S23,2,1.00E+00,9.96E-01,4.13,7.21E-05,3.00E-04,TRUE,2.36E+05,4.26E+05,2.62E+05,0.00E+00,0.00E+00,0.00E+00
P15880,RPS2,40S ribosomal protein S2,5,1.00E+00,9.96E-01,5.38,7.72E-05,3.14E-04,TRUE,3.40E+05,1.10E+06,9.56E+05,0.00E+00,0.00E+00,0.00E+00
P60866,RPS20,40S ribosomal protein S20,2,1.00E+00,9.97E-01,4.7,8.96E-05,3.56E-04,TRUE,4.09E+05,7.66E+05,2.75E+05,0.00E+00,0.00E+00,0.00E+00
P32969,RPL9,60S ribosomal protein L9,4,1.00E+00,9.97E-01,5.09,1.04E-04,4.03E-04,TRUE,4.91E+05,1.17E+06,3.39E+05,0.00E+00,0.00E+00,0.00E+00
Q15365,PCBP1,Poly(rC)-binding protein 1,3,1.00E+00,9.98E-01,5.09,1.09E-04,4.13E-04,TRUE,3.15E+05,1.13E+06,5.40E+05,0.00E+00,0.00E+00,0.00E+00
P53999,SUB1,Activated RNA polymerase II transcriptional coactivator p15,2,1.00E+00,9.98E-01,3.78,1.32E-04,4.91E-04,TRUE,1.63E+05,3.20E+05,2.44E+05,0.00E+00,0.00E+00,0.00E+00
Q14980,NUMA1,Nuclear mitotic apparatus protein 1,3,1.00E+00,9.99E-01,4.46,1.38E-04,5.05E-04,TRUE,4.00E+05,2.11E+05,6.22E+05,0.00E+00,0.00E+00,0.00E+00
P39748,FEN1,Flap endonuclease 1,2,1.00E+00,9.99E-01,4,1.46E-04,5.23E-04,TRUE,1.68E+05,3.83E+05,3.10E+05,0.00E+00,0.00E+00,0.00E+00
P63244,RACK1,Receptor of activated protein C kinase 1,3,1.00E+00,9.98E-01,4.46,1.57E-04,5.39E-04,TRUE,1.99E+05,5.95E+05,4.45E+05,0.00E+00,0.00E+00,0.00E+00
