#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
6630	2810	2908	109072	109165	-	-	SFN	NR3C1	YWHAS	GCCR|GCR|GCRST|GR|GRL	Two-hybrid	physical	Kino T (2003)	PUBMED:12730237	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P31947	-	NP_006133	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
6631	7041	2908	112899	109165	-	-	TGFB1I1	NR3C1	ARA55|HIC-5|HIC5|TSC-5	GCCR|GCR|GCRST|GR|GRL	Two-hybrid	physical	Yang L (2000)	PUBMED:10848625	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43294	A0A024QZE7	NP_001158191|NP_001035919|NP_057011	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
6651	2908	11319	109165	116450	-	-	NR3C1	ECD	GCCR|GCR|GCRST|GR|GRL	GCR2|HSGT1	Two-hybrid	physical	Sato T (1999)	PUBMED:9928932	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	O95905	-	NP_001129224|NP_001129225|NP_009196	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243739	2908	5883	109165	111820	-	-	NR3C1	RAD9A	GCCR|GCR|GCRST|GR|GRL	RAD9	Reconstituted Complex	physical	Wang L (2004)	PUBMED:14966297	9606	9606	Low Throughput	-	-	AR can interact with the C terminus of hRad9 via its ligand binding domain. The FXXLF motif within the C terminus of hRad9 interrupts the androgen-induced interaction between the N terminus and C terminus of AR	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q99638	-	NP_004575|NP_001230153	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243785	23054	2908	116691	109165	RP5-1181N3.2	-	NCOA6	NR3C1	AIB3|ASC2|NRC|PRIP|RAP250|TRBP	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Lee SK (1999)	PUBMED:10567404	9606	9606	Low Throughput	-	-	ASC-2, either alone or in conjunction with CBP/p300 and SRC-1, stimulated ligand-dependent transactivation by wild type nuclear receptors but not mutant receptors lacking the AF2 domain	-	BIOGRID	Q14686	F6M2K3|F6M2K2	NP_054790|NP_001229468	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245750	10048	2908	115359	109165	-	-	RANBP9	NR3C1	BPM-L|BPM90|RANBPM|RanBP7	GCCR|GCR|GCRST|GR|GRL	Two-hybrid	physical	Rao MA (2002)	PUBMED:12361945	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96S59	A0A024QZW3	NP_005484	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245751	10048	2908	115359	109165	-	-	RANBP9	NR3C1	BPM-L|BPM90|RANBPM|RanBP7	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Rao MA (2002)	PUBMED:12361945	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96S59	A0A024QZW3	NP_005484	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253707	2908	3725	109165	109928	-	-	NR3C1	JUN	GCCR|GCR|GCRST|GR|GRL	AP-1|AP1|c-Jun	Reconstituted Complex	physical	Lerner L (2003)	PUBMED:14522952	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	P05412	-	NP_002219	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253708	2908	6774	109165	112651	-	-	NR3C1	STAT3	GCCR|GCR|GCRST|GR|GRL	ADMIO|APRF|HIES	Reconstituted Complex	physical	Lerner L (2003)	PUBMED:14522952	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	P40763	-	NP_644805|NP_003141|NP_001356447|NP_001356443|NP_001371920|NP_001371913|NP_001371917|NP_001356445|NP_001356446|NP_998827|NP_001371915|NP_001371914|NP_001356442|NP_001371918|NP_001371919|NP_001371921|NP_001371922|NP_001371916|NP_001356448|NP_001356449|NP_001356441	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253733	7704	2908	113498	109165	-	-	ZBTB16	NR3C1	PLZF|ZNF145	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Martin PJ (2003)	PUBMED:14521715	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q05516	A0A024R3C6	NP_001018011|NP_005997	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
