sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:132","ACTB","actin beta","","","7p22.1"
"HGNC:24124","ACTL6A","actin like 6A","","Actl6,BAF53A,Arp4,Baf53a,INO80K,SMARCN1","3q26.33"
"HGNC:160","ACTL6B","actin like 6B","ACTL6","BAF53B,SMARCN2","7q22.1"
"HGNC:18037","ARID2","AT-rich interaction domain 2","","KIAA1557,DKFZp686G052,FLJ30619,BAF200,SMARCF3,ZIPZAP,p200","12q12"
"HGNC:14310","BRD7","bromodomain containing 7","","CELTIX1,BP75,SMARCI1","16q12.1"
"HGNC:30064","PBRM1","polybromo 1","","BAF180,PB1,SMARCH1","3p21.1"
"HGNC:18250","PHF10","PHD finger protein 10","","FLJ10975,XAP135,BAF45a,SMARCG4","6q27"
"HGNC:11100","SMARCA4","SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4","SNF2L4","hSNF2b,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786","19p13.2"
"HGNC:11103","SMARCB1","SWI/SNF related BAF chromatin remodeling complex subunit B1","SNF5L1","BAF47,Ini1,INI-1,Snr1,hSNFS,Sfh1p,RDT,PPP1R144,SNF5","22q11.23"
"HGNC:11104","SMARCC1","SWI/SNF related BAF chromatin remodeling complex subunit C1","","BAF155,SRG3,Rsc8,CRACC1","3p21.31"
"HGNC:11105","SMARCC2","SWI/SNF related BAF chromatin remodeling complex subunit C2","","BAF170,Rsc8,CRACC2","12q13.2"
"HGNC:11106","SMARCD1","SWI/SNF related BAF chromatin remodeling complex subunit D1","","BAF60A,Rsc6p,CRACD1","12q13.12"
"HGNC:11107","SMARCD2","SWI/SNF related BAF chromatin remodeling complex subunit D2","","BAF60B,Rsc6p,CRACD2,PRO2451","17q23.3"
"HGNC:11108","SMARCD3","SWI/SNF related BAF chromatin remodeling complex subunit D3","","BAF60C,Rsc6p,CRACD3","7q36.1"
"HGNC:11109","SMARCE1","SWI/SNF related BAF chromatin remodeling complex subunit E1","","BAF57","17q21.2"
