sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:132","ACTB","actin beta","","","7p22.1"
"HGNC:24124","ACTL6A","actin like 6A","","Actl6,BAF53A,Arp4,Baf53a,INO80K,SMARCN1","3q26.33"
"HGNC:160","ACTL6B","actin like 6B","ACTL6","BAF53B,SMARCN2","7q22.1"
"HGNC:11110","ARID1A","AT-rich interaction domain 1A","C1orf4,SMARCF1","B120,P270,C10rf4,BAF250,BAF250a","1p36.11"
"HGNC:18040","ARID1B","AT-rich interaction domain 1B","","KIAA1235,ELD/OSA1,p250R,BAF250b,DAN15,6A3-5,SMARCF2","6q25.3"
"HGNC:1004","BCL7A","BAF chromatin remodeling complex subunit BCL7A","BCL7","SMARCJ1","12q24.31"
"HGNC:1005","BCL7B","BAF chromatin remodeling complex subunit BCL7B","","SMARCJ2","7q11.23"
"HGNC:1006","BCL7C","BAF chromatin remodeling complex subunit BCL7C","","SMARCJ3","16p11.2"
"HGNC:13221","BCL11A","BCL11 transcription factor A","EVI9","BCL11A-XL,BCL11A-L,BCL11A-S,CTIP1,HBFQTL5,ZNF856,SMARCM1","2p16.1"
"HGNC:13222","BCL11B","BCL11 transcription factor B","ZNF856B","CTIP-2,CTIP2,hRIT1-alpha,SMARCM2","14q32.2"
"HGNC:25818","BRD9","bromodomain containing 9","","FLJ13441,SMARCI2","5p15.33"
"HGNC:20225","DPF1","double PHD fingers 1","","neuro-d4,NEUD4,BAF45b,SMARCG1","19q13.2"
"HGNC:9964","DPF2","double PHD fingers 2","REQ","ubi-d4,BAF45d,SMARCG2","11q13.1"
"HGNC:17427","DPF3","double PHD fingers 3","","cer-d4,Cerd4,FLJ14079,BAF45c,SMARCG3","14q24.2"
"HGNC:18250","PHF10","PHD finger protein 10","","FLJ10975,XAP135,BAF45a,SMARCG4","6q27"
"HGNC:11098","SMARCA2","SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2","SNF2L2","BAF190,hSNF2a,hBRM,Sth1p,SNF2LA,BRM,SNF2,SWI2","9p24.3"
"HGNC:11100","SMARCA4","SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4","SNF2L4","hSNF2b,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786","19p13.2"
"HGNC:11103","SMARCB1","SWI/SNF related BAF chromatin remodeling complex subunit B1","SNF5L1","BAF47,Ini1,INI-1,Snr1,hSNFS,Sfh1p,RDT,PPP1R144,SNF5","22q11.23"
"HGNC:11104","SMARCC1","SWI/SNF related BAF chromatin remodeling complex subunit C1","","BAF155,SRG3,Rsc8,CRACC1","3p21.31"
"HGNC:11105","SMARCC2","SWI/SNF related BAF chromatin remodeling complex subunit C2","","BAF170,Rsc8,CRACC2","12q13.2"
"HGNC:11106","SMARCD1","SWI/SNF related BAF chromatin remodeling complex subunit D1","","BAF60A,Rsc6p,CRACD1","12q13.12"
"HGNC:11107","SMARCD2","SWI/SNF related BAF chromatin remodeling complex subunit D2","","BAF60B,Rsc6p,CRACD2,PRO2451","17q23.3"
"HGNC:11108","SMARCD3","SWI/SNF related BAF chromatin remodeling complex subunit D3","","BAF60C,Rsc6p,CRACD3","7q36.1"
"HGNC:11109","SMARCE1","SWI/SNF related BAF chromatin remodeling complex subunit E1","","BAF57","17q21.2"
"HGNC:11340","SS18","SS18 subunit of BAF chromatin remodeling complex","SSXT","SYT,SMARCL1","18q11.2"
"HGNC:15592","SS18L1","SS18L1 subunit of BAF chromatin remodeling complex","","KIAA0693,CREST,SMARCL2","20q13.33"
